FEI,Firm_Name ,Count_of_Operations,FDA483_Issued 
3002047518,IVAX Pharmaceuticals,4727,
3005579246,Hospira Inc.  A Pfizer Company,1139,
1416980,Baxter Healthcare Corp. (Baxalta),1125,
1216486,Bayer HealthCare Pharmaceuticals Inc,1085,
1110315,Mylan Pharmaceuticals Inc.,732,
2510184,Mcneil Consumer Healthcare  Div Of Mcneil-ppc  Inc.,699,
3003197096,Vintage Pharmaceuticals LLC  DBA Qualitest Pharmaceuticals,672,
2182207,Medtronic Neuromodulation,665,
3003618974,Nestle Purina PetCare Co,624,
2240869,Siemens Medical Solutions USA  Inc,523,
3004591926,Hospira Inc.,509,
3002807060,Mylan Pharmaceuticals ULC,491,
3003989770,Cobalt Pharmaceuticals  Inc.,458,
1000140211,Teva Branded Pharmaceutical Products R & D  Inc.,438,
1000115571,Baxter Pharmaceutical Solutions  LLC,415,
1020279,Smith & Nephew  Inc.,406,
1415939,Abbott Laboratories,394,
1925262,Hospira Inc,386,
3002719998,RTI Surgical   Inc.,381,
2416101,Pfizer Inc.,379,
3005180112,Synthes  Inc.,349,
1527736,Ethicon Endo-Surgery Inc,330,
2210968,Ethicon  Inc.,325,
1510690,Roxane Laboratories  Inc.,302,
1000477302,Medtronic Sofamor Danek USA Inc,292,
1000136573,Ortho-Clinical Diagnostics,285,
1820334,Cook Inc.,254,
1000125596,Alere San Diego  Inc.,244,
1717759,Sandoz Incorporated,239,
1610287,Alcon Research  Ltd.,230,
3002806523,Sandoz GmbH,230,
3002803444,Abbott Diabetes Care  Inc.,229,
1035048,GlaxoSmithKline,226,
1825034,Zimmer Biomet  Inc.,226,
2124215,Boston Scientific Corporation,226,
1317628,Bausch & Lomb Inc Irb,220,
1016427,Cordis Corporation,213,
3003997569,Forest Research Institute,197,
2182208,Medtronic Inc.  Cardiac Rhythm and Heart Failure,196,
2021236,B. Braun Medical Inc,181,
1911445,Novartis Consumer Health,178,
2916596,Thoratec Corporation,171,
1818910,DePuy Orthopaedics  Inc.,166,
2432435,Fougera Pharmaceuticals  Inc.,154,
2936999,Covidien LP (formerly Nellcor Puritan Bennett Inc.),154,
3002095335,Boston Scientific Corporation,154,
1219930,Covidien LLC,151,
1000513172,Merck Sharp & Dohme Corp.,151,
1411365,AbbVie Inc.,147,
3005099803,Boston Scientific Corporation,146,
3003418325,Integra LifeSciences Corp.,141,
3003092769,Teva Pharmaceuticals USA,139,
2432235,Siemens Healthcare Diagnostics  Inc.,138,
2220525,West-Ward Pharmaceuticals Corporation,136,
3003843509,Abbott Medical Optics Inc. (AMO),136,
2050001,Carefusion 211 Inc dba Carefusion,130,
1033964,GlaxoSmithKline  LLC,129,
3000719926,Procter & Gamble Co,127,
1119779,Becton Dickinson & Co.,122,
1819470,Eli Lilly and Company,119,
2416082,Novartis Pharmaceuticals Corp.,115,
1310337,Wyeth Pharmaceuticals Inc.  a subsidiary of Pfizer  Inc.,113,
2017865,St Jude Medical Inc.,113,
2016148,International Medication Systems Limited,111,
3005796917,Aurolife Pharma  LLC,110,
2476837,New York Blood Center  Inc.,109,
2210396,Novartis Pharmaceuticals Corp.,108,
2015691,Edwards Lifesciences  LLC,107,
3071347,Puget Sound Blood Center and Program,106,
1000527006,Bristol-Meyers Squibb,106,
3002807336,Janssen Pharmaceutica  N.V.,106,
2650130,Ivax Pharmaceuticals  Inc.,105,
1710034,Becton Dickinson Medical Systems,104,
2434223,Par Pharmaceutical  Inc.,103,
1819171,Kremers Urban Pharmaceuticals  Inc.,102,
1930436,Nostrum Laboratories Inc,102,
1053439,G&W NC Laboratories  LLC,101,
2083595,Smart Health Inc. (dba) SmartPractice,101,
2211563,Actavis Elizabeth LLC,101,
2917293,Genentech Inc.,101,
