Fer,Name,Lines,Value
1417592,Medline_Industries_Inc,5280794,2058363
3000172060,Customs_Sterile,3877974,1130157
0,Not_Supplied,1846440,7000
1623223,Cardinal_Health_200_LLC,1812264,1050000
3002836768,Fedex_Trade_Networks,711803,2558482
3002870252,Lush_Manufacturing,548399,591
1610249,Bimbo_Bakeries_USA,461129,357087
3008429219,Vistaprint_Netherlands_B_V_,267985,7051
3003593230,FEDEX_Trade_Networks_Transport_and_Brokerage,205843,700602
3000169130,W_H_Voortman_Ltd,204322,9805
2020737,DJO_LLC,201068,219754
3000121016,Driscoll_Strawberry_Assoc_Inc,197731,2432153
2000014926,BIMBO_Bakeries_USA_Inc_,178250,413140
3003173295,Apollo_Health_And_Beauty_Care,140856,455494
3003234596,New_Directions_Aromatics,131569,10398
3002547814,Make-Up_Art_Cosmetics_Inc_,126126,29330
1000221324,Hewlett_Packard_Co,124028,1997509
2937137,Sunrise_Medical_US_LLC,108856,50988
3000159460,Homegoods_Inc,98799,312498
2025816,ICU_Medical_Inc_,97663,123297
1316463,Welch_Allyn_Inc,89870,75004
3010319386,C_R__Bard_Inc,87779,161069
3005576354,Voortman_Cookies,71197,45550
2026926,Quickie_Designs_Inc,69480,18261
2016150,Ormco_Sybronendo,68075,126182
1282497,Covidien_LLC,62199,1207853
3000287396,The_Metropolitan_Tea_Co_Ltd,60690,126
1000069722,UPS_Supply_Chain_Solutions_Inc,59878,107113
3003587896,Aesculap_Inc,59182,102237
3003817360,Fragrancenet_Com,53662,8791
3001451463,Boston_Scientific_Corporation,50104,2140692
3001504994,Medtronic_Inc,49966,552372
3009054128,NEW_DIRECTIONS_AROMATICS_INC_,47450,3264
1000573979,Sanmina_Corp,47269,2097
3010063368,Steeped_Fine_Loose_Teas_&_Access,46686,918
3006396155,Crown_Imports_Llc,46237,3659228
1000192129,DHL_Express_USA_Inc,43879,47830
3000170243,Duty_Free_Shops,43694,43260
1000125675,Dole_Fresh_Fruit_Company,39519,921397
3001238471,Euromarket_Designs_Inc_,36954,2947145
