FY	Total_Hours	Total_Operations	Work_Accomplishment_ID	Smpl_Tracking_Num	Industry_Code
2006	21.00	1	2626971	345516	02
2006	10.00	1	2630281	345517	02
2006	2.00	1	2753856	360164	02
2006	8.00	1	2795389	310379	02
2006	12.00	1	2891461	369935	02
2006	4.00	1	2895039	369936	02
2006	4.00	1	2900819	369939	02
2006	4.00	1	2900823	369940	02
2006	4.00	1	2900832	369941	02
2006	4.00	1	2906214	367589	02
2006	6.00	1	2910890	369937	02
2006	6.00	1	2910945	369938	02
2006	3.00	1	2971417	356734	02
2006	8.00	1	3001674	363887	02
2006	12.00	1	3001694	363888	02
2006	12.00	1	3001764	363890	02
2007	6.00	1	2994164	239579	02
2007	4.00	1	3081011	400483	02
2007	5.00	1	3108127	372590	02
2007	3.00	1	3117088	386539	02
2007	5.00	1	3149229	373748	02
2007	5.00	1	3164877	409454	02
2007	6.00	1	3194691	245577	02
2007	2.00	1	3295258	383127	02
2007	8.00	1	3302494	373759	02
2007	30.00	1	3308049	403533	02
2007	6.00	1	3329472	396024	02
2007	3.50	1	3329493	396025	02
2007	3.00	1	3329501	396026	02
2007	7.00	1	3332620	390725	02
2007	7.00	1	3332623	390726	02
2008	16.00	1	3460636	419488	02
2008	5.50	1	3549759	449692	02
2008	5.00	1	3556422	440365	02
2008	44.00	1	3580085	414105	02
2008	10.00	1	3583637	446219	02
2008	32.00	1	3589219	404018	02
2008	8.00	1	3589583	446217	02
2008	4.00	1	3590684	355265	02
2008	16.00	1	3638081	463041	02
2008	3.00	1	3690052	448145	02
2008	6.00	1	3703677	462775	02
2008	8.00	1	3723201	473358	02
2008	6.00	1	3794050	477542	02
2009	20.00	1	3941705	402119	02
2009	18.00	1	3943928	502216	02
2009	5.00	1	3982944	509961	02
2009	3.00	1	4005412	487691	02
2009	9.00	1	4058624	490236	02
2009	8.00	1	4074132	417303	02
2009	6.00	1	4075005	508416	02
2009	9.00	1	4076312	512784	02
2009	4.00	1	4078348	512785	02
2009	10.00	1	4084744	528136	02
2009	6.00	1	4089100	494853	02
2009	15.00	1	4099656	523294	02
2009	6.00	1	4101624	528420	02
2009	18.00	1	4101900	528551	02
2009	10.00	1	4109007	528550	02
2009	16.00	1	4126505	534903	02
2009	4.00	1	4126788	534721	02
2009	8.00	1	4127560	494854	02
2009	1.50	1	4134920	490521	02
2009	10.00	1	4140519	471186	02
2009	4.00	1	4152263	513287	02
2009	4.00	1	4168263	486467	02
2009	5.00	1	4171290	494858	02
2009	10.00	1	4172667	534428	02
2009	11.00	1	4177086	537988	02
2009	11.00	1	4177166	537989	02
2009	10.00	1	4177257	537990	02
2009	11.00	1	4177292	537991	02
2009	24.00	1	4179365	533754	02
2009	20.00	1	4182593	533759	02
2009	20.00	1	4182611	533760	02
2009	2.00	1	4190686	505986	02
2009	6.00	1	4203795	521331	02
2009	10.00	1	4205298	495231	02
2009	14.50	1	4237418	548322	02
2009	10.00	1	4239457	532556	02
2009	9.00	1	4239585	532557	02
2009	6.00	1	4328160	548719	02
2009	3.00	1	4345812	437374	02
2009	5.00	1	4359085	519323	02
2009	5.00	1	4376899	553344	02
2009	3.00	1	4391024	517570	02
2009	3.00	1	4395656	575709	02
2009	2.50	1	4396328	569054	02
2009	2.50	1	4396493	575386	02
2009	4.00	1	4396779	569052	02
2009	4.00	1	4396863	569047	02
2009	5.00	1	4399093	569050	02
2009	5.00	1	4399436	569048	02
2009	5.00	1	4400041	569053	02
2009	5.00	1	4400465	569049	02
2009	15.00	1	4400994	518659	02
2009	9.50	1	4411947	575387	02
2009	4.50	1	4411965	575388	02
2009	50.00	1	4413021	504239	02
2009	25.00	1	4414635	504241	02
2009	36.00	1	4414687	504242	02
2009	28.00	1	4415990	504244	02
2009	28.00	1	4416041	504245	02
2009	5.00	1	4418601	541347	02
2009	1.50	1	4452486	582532	02
2010	3.00	1	4406006	520462	02
2010	1.00	1	4418345	499831	02
2010	6.00	1	4428318	551415	02
2010	6.00	1	4428319	551416	02
2010	12.00	1	4447850	530125	02
2010	4.50	1	4460000	575392	02
2010	4.50	1	4460060	575393	02
2010	4.50	1	4460076	575394	02
2010	4.50	1	4460201	580069	02
2010	3.00	1	4465239	580071	02
2010	3.00	1	4465295	580072	02
2010	6.00	1	4466564	564188	02
2010	11.00	1	4479935	545206	02
2010	19.00	1	4481280	520875	02
2010	2.00	1	4487866	533763	02
2010	4.00	1	4495700	532601	02
2010	4.00	1	4502281	486473	02
2010	13.00	1	4503677	530418	02
2010	13.00	1	4503708	530420	02
2010	13.00	1	4507156	530421	02
2010	12.00	1	4507961	533654	02
2010	2.00	1	4556740	543379	02
2010	12.00	1	4557178	573838	02
2010	12.00	1	4557437	573839	02
2010	6.00	1	4561203	573840	02
2010	6.00	1	4561318	573841	02
2010	3.00	1	4565198	594605	02
2010	7.00	1	4585923	437735	02
2010	7.00	1	4586156	574291	02
2010	7.00	1	4588835	501261	02
2010	6.00	1	4588891	501262	02
2010	24.00	1	4592410	462966	02
2010	24.00	1	4592488	462967	02
2010	5.00	1	4597504	599521	02
2010	5.00	1	4597512	599522	02
2010	5.00	1	4598180	599523	02
2010	36.00	1	4599810	598975	02
2010	1.00	1	4601870	477753	02
2010	36.00	1	4602366	598976	02
2010	9.00	1	4614197	554731	02
2010	6.00	1	4616733	504480	02
2010	6.00	1	4617231	504479	02
2010	6.20	1	4617468	592571	02
2010	6.00	1	4625323	567736	02
2010	8.00	1	4627207	586823	02
2010	5.20	1	4629491	592576	02
2010	26.50	1	4631655	519230	02
2010	15.50	1	4631663	519231	02
2010	6.20	1	4636537	605362	02
2010	6.00	1	4653053	500994	02
2010	4.50	1	4659295	575932	02
2010	4.50	1	4659662	575935	02
2010	4.50	1	4661732	575933	02
2010	4.50	1	4661833	575934	02
2010	5.00	1	4672720	573164	02
2010	12.00	1	4692182	614401	02
2010	1.00	1	4767468	610733	02
2010	2.50	1	4797449	610460	02
2010	20.00	1	4801137	558757	02
2010	5.00	1	4803643	626659	02
2010	5.00	1	4803663	626660	02
2010	8.00	1	4824035	572088	02
2010	11.50	1	4845947	519236	02
2010	5.50	1	4848340	626953	02
2010	6.00	1	4849550	501264	02
2010	6.00	1	4849589	501265	02
2010	16.00	1	4886434	635087	02
2010	4.00	1	4897104	612635	02
2010	10.00	1	4899553	630597	02
2010	6.00	1	4904924	637132	02
2010	6.00	1	4905220	637158	02
2010	5.00	1	4907931	607537	02
2010	6.00	1	4914322	566271	02
2010	18.00	1	4914934	632182	02
2010	27.00	1	4930376	565358	02
2010	3.00	1	4966504	573507	02
2010	5.00	1	4997520	641717	02
2010	3.50	1	5014705	511572	02
2010	8.00	1	5016755	640703	02
2010	4.00	1	5018462	602887	02
2010	3.00	1	5023635	602888	02
2010	24.00	1	5024196	581450	02
2010	4.00	1	5030395	637099	02
2010	10.00	1	5031027	649704	02
2010	9.00	1	5034272	607236	02
2011	6.00	1	5045099	651782	02
2011	12.00	1	5080196	596626	02
2011	3.00	1	5097698	602892	02
2011	4.00	1	5097977	602893	02
2011	4.00	1	5099411	602894	02
2011	4.00	1	5099663	647717	02
2011	4.00	1	5099741	647718	02
2011	7.00	1	5100734	641720	02
2011	28.00	1	5111851	298385	02
2011	12.00	1	5112487	298386	02
2011	1.50	1	5112655	653414	02
2011	12.00	1	5112820	298387	02
2011	12.00	1	5118040	623127	02
2011	6.50	1	5123870	653051	02
2011	26.00	1	5135056	481487	02
2011	26.00	1	5156861	645462	02
2011	2.00	1	5162635	635301	02
2011	4.00	1	5171899	607540	02
2011	12.00	1	5173172	580043	02
2011	8.00	1	5180013	580044	02
2011	10.00	1	5187780	632179	02
2011	6.00	1	5207430	638536	02
2011	9.00	1	5216636	636719	02
2011	4.00	1	5226231	512245	02
2011	4.00	1	5226235	512244	02
2011	11.00	1	5226827	640159	02
2011	8.00	1	5235504	539850	02
2011	5.00	1	5240012	609233	02
2011	5.00	1	5240092	671394	02
2011	2.00	1	5241382	665788	02
2011	7.00	1	5246574	665199	02
2011	5.00	1	5251580	577756	02
2011	7.00	1	5252286	643107	02
2011	4.00	1	5257532	657084	02
2011	22.50	1	5325293	590486	02
2011	20.50	1	5325394	590487	02
2011	21.00	1	5325840	653822	02
2011	16.00	1	5325860	652744	02
2011	10.00	1	5335908	628780	02
2011	4.00	1	5338344	665829	02
2011	21.00	1	5359353	680198	02
2011	8.00	1	5360870	676606	02
2011	8.00	1	5390945	653480	02
2011	8.00	1	5395030	646300	02
2011	1.00	1	5408962	670111	02
2011	1.00	1	5420881	606703	02
2011	4.50	1	5422631	654793	02
2011	10.00	1	5422946	579129	02
2011	1.50	1	5438868	644315	02
2011	6.00	1	5457790	689726	02
2011	8.00	1	5465975	534198	02
2011	14.00	1	5476903	666635	02
2011	3.00	1	5505221	667764	02
2011	38.00	1	5509864	596627	02
2011	2.00	1	5520875	691486	02
2011	8.00	1	5538924	653428	02
2011	4.00	1	5550281	687629	02
2011	7.50	1	5556598	671355	02
2011	16.00	1	5556804	671303	02
2011	8.00	1	5557074	671758	02
2011	7.00	1	5557689	653502	02
2011	13.00	1	5558209	653503	02
2011	15.00	1	5558584	671304	02
2011	30.00	1	5577171	668530	02
2011	9.00	1	5587316	573168	02
2011	8.00	1	5589426	656098	02
2011	4.00	1	5590259	690322	02
2011	9.00	1	5613592	598996	02
2011	9.00	1	5616631	598998	02
2011	10.00	1	5625282	573169	02
2011	6.00	1	5625890	657381	02
2011	2.00	1	5640186	669326	02
2011	6.00	1	5645670	651931	02
2011	12.50	1	5646138	686777	02
2011	12.50	1	5646144	686778	02
2011	12.50	1	5646199	686779	02
2011	13.00	1	5656600	656877	02
2011	18.00	1	5657447	665292	02
2011	19.00	1	5658187	665288	02
2011	16.00	1	5658439	665287	02
2011	13.00	1	5664320	656879	02
2011	13.00	1	5664334	656880	02
2011	13.00	1	5664342	656881	02
2011	13.00	1	5679875	665120	02
2011	16.00	1	5679895	671334	02
2011	4.00	1	5684428	671308	02
2011	4.00	1	5684430	699975	02
2011	13.00	1	5689380	665212	02
2011	4.00	1	5694054	699976	02
2011	3.00	1	5704856	713759	02
2011	7.00	1	5706559	692645	02
2011	24.00	1	5707552	685851	02
2011	16.00	1	5710911	636192	02
2011	21.00	1	5710954	636194	02
2011	6.00	1	5712078	715153	02
2011	6.00	1	5713003	715154	02
2011	6.00	1	5713055	715155	02
2011	6.50	1	5717900	562976	02
2011	6.50	1	5718071	562978	02
2011	5.00	1	5725130	699977	02
2011	4.00	1	5728323	694701	02
2011	4.00	1	5728381	705447	02
2011	4.00	1	5728388	705448	02
2011	2.00	1	5728393	705449	02
2012	15.00	1	5753533	661028	02
2012	14.00	1	5761280	661029	02
2012	17.00	1	5764723	715122	02
2012	10.00	1	5768887	715677	02
2012	3.00	1	5781171	718289	02
2012	4.00	1	5806661	696656	02
2012	8.00	1	5817308	689739	02
2012	3.00	1	5826734	550252	02
2012	8.00	1	5833313	702570	02
2012	5.00	1	5846163	714263	02
2012	4.00	1	5850533	717393	02
2012	5.00	1	5871405	687353	02
2012	5.00	1	5873793	696077	02
2012	1.00	1	5884952	671285	02
2012	6.00	1	5893101	704819	02
2012	6.50	1	5951638	729021	02
2012	3.50	1	5951654	729022	02
2012	3.00	1	5954739	690209	02
2012	2.00	1	5962592	729023	02
2012	4.00	1	6010384	731691	02
2012	5.00	1	6031767	737768	02
2012	7.50	1	6038178	734607	02
2012	5.00	1	6044429	732689	02
2012	5.00	1	6077903	722212	02
2012	7.00	1	6078491	726278	02
2012	7.00	1	6078493	726279	02
2012	5.00	1	6096624	726280	02
2012	5.00	1	6115118	749295	02
2012	6.00	1	6130197	748624	02
2012	18.00	1	6136553	735309	02
2012	7.50	1	6155215	682382	02
2012	9.00	1	6165609	700220	02
2012	8.00	1	6177637	758651	02
2012	8.00	1	6177692	758652	02
2012	36.00	1	6181459	753768	02
2012	6.00	1	6182660	682384	02
2012	2.00	1	6204714	727682	02
2012	6.00	1	6281310	698869	02
2012	12.00	1	6285269	675561	02
2012	7.50	1	6300553	768380	02
2012	6.00	1	6382587	682923	02
2012	10.00	1	6421457	758048	02
2013	5.00	1	6166442	770059	02
2013	4.00	1	6457011	698532	02
2013	4.00	1	6457022	698533	02
