Person_ID 	Count_of_Inspections
480930	53
454451	42
425703	39
454216	35
475365	35
463188	34
453775	33
481085	33
411716	32
483644	32
485164	30
460229	28
423862	27
480305	27
424051	26
453900	26
465056	26
423154	24
415461	23
475480	23
490281	23
403892	22
483708	22
462165	21
465115	21
479498	21
480411	21
410554	20
423693	20
454835	20
456476	20
457995	20
478119	20
423644	19
453413	19
455635	19
455663	19
477170	19
479695	19
483719	19
403917	18
407238	18
408168	18
411416	18
453607	18
479146	18
490451	18
453416	17
477180	17
477723	17
478217	17
478901	17
479105	17
479292	17
481638	17
481850	17
488418	17
410633	16
411261	16
417422	16
453411	16
454204	16
455662	16
458535	16
459234	16
464834	16
477533	16
479088	16
482224	16
482636	16
490223	16
400090	15
403937	15
409234	15
410960	15
423382	15
448939	15
454436	15
464435	15
466137	15
476115	15
478113	15
478992	15
479107	15
479112	15
479315	15
480301	15
480315	15
481570	15
483387	15
489832	15
490116	15
491257	15
400354	14
408936	14
423698	14
453409	14
457387	14
460511	14
464860	14
469567	14
471147	14
471790	14
474993	14
477279	14
477897	14
479142	14
479147	14
479404	14
479529	14
479558	14
479559	14
489796	14
489879	14
490169	14
491749	14
491973	14
400366	13
407129	13
408189	13
410961	13
411061	13
424487	13
453260	13
455870	13
455988	13
456246	13
460357	13
463041	13
464155	13
464740	13
465412	13
468477	13
471200	13
473331	13
475747	13
476053	13
477056	13
477324	13
477778	13
477805	13
477927	13
478635	13
478853	13
479484	13
479528	13
479672	13
480231	13
480774	13
480832	13
481744	13
487979	13
488531	13
489716	13
490053	13
491258	13
403709	12
409698	12
410817	12
410962	12
412302	12
418142	12
423222	12
424215	12
425088	12
451637	12
455913	12
456471	12
462242	12
464141	12
465106	12
465314	12
466161	12
471042	12
472848	12
475243	12
475868	12
476012	12
478103	12
478239	12
479097	12
479365	12
480449	12
481104	12
481255	12
485086	12
489050	12
489862	12
490061	12
490296	12
490417	12
490558	12
409215	11
409715	11
422524	11
423476	11
423649	11
424349	11
424554	11
427303	11
451610	11
453231	11
453351	11
453854	11
453979	11
454664	11
455921	11
455973	11
459634	11
460906	11
461962	11
463313	11
463624	11
465121	11
465272	11
468296	11
469671	11
471854	11
474198	11
474855	11
474931	11
475629	11
475889	11
476042	11
476450	11
477955	11
478215	11
478231	11
479043	11
479102	11
480940	11
480977	11
482697	11
482925	11
483182	11
483515	11
483707	11
484174	11
489756	11
489861	11
492193	11
407170	10
407190	10
410284	10
410339	10
424225	10
426863	10
451617	10
453397	10
453934	10
455089	10
455459	10
455766	10
455844	10
455848	10
455945	10
459628	10
460685	10
460736	10
460896	10
460907	10
463386	10
463504	10
464005	10
466148	10
471995	10
474304	10
474999	10
476028	10
476045	10
476675	10
476965	10
477623	10
477780	10
477867	10
478224	10
478583	10
478999	10
479065	10
479130	10
479226	10
479385	10
479426	10
480088	10
480189	10
480412	10
481648	10
481732	10
482555	10
483311	10
489569	10
489643	10
490452	10
492974	10
493043	10
400026	9
406639	9
406739	9
406865	9
409699	9
410591	9
423150	9
424531	9
424871	9
425346	9
427025	9
453368	9
453408	9
453419	9
453988	9
454098	9
454374	9
455414	9
455636	9
455987	9
456005	9
456089	9
459233	9
460220	9
462424	9
463293	9
463749	9
463994	9
464281	9
464578	9
464598	9
464771	9
465274	9
467541	9
472752	9
473169	9
475478	9
475818	9
475867	9
476074	9
476090	9
476439	9
476542	9
476773	9
476878	9
477765	9
477817	9
478102	9
478418	9
478421	9
478592	9
478941	9
479011	9
479066	9
479207	9
479244	9
479310	9
479424	9
479425	9
479468	9
479582	9
480282	9
481423	9
481633	9
481692	9
481910	9
483709	9
484668	9
485482	9
490077	9
491439	9
491754	9
491968	9
492069	9
492391	9
493237	9
100951	8
406647	8
406659	8
406764	8
408238	8
409136	8
409239	8
410401	8
417001	8
423234	8
423533	8
423537	8
423685	8
423775	8
423825	8
423889	8
424121	8
424214	8
424674	8
424968	8
451743	8
452042	8
453415	8
453823	8
453974	8
454519	8
455095	8
455210	8
455212	8
455434	8
455554	8
455660	8
455693	8
455990	8
456262	8
457743	8
458830	8
459231	8
459847	8
460163	8
460218	8
460497	8
460998	8
461409	8
463814	8
463911	8
464675	8
464931	8
472773	8
474980	8
475891	8
476208	8
476793	8
476898	8
476959	8
477379	8
478024	8
479297	8
479302	8
479502	8
479670	8
479996	8
480220	8
480440	8
481013	8
481014	8
481598	8
483143	8
483759	8
488268	8
489599	8
490276	8
490343	8
490416	8
491084	8
491097	8
492254	8
492266	8
492581	8
400297	7
400305	7
403726	7
407166	7
407247	7
407256	7
408111	7
409211	7
409289	7
411059	7
417026	7
417041	7
418162	7
418225	7
423566	7
423681	7
423864	7
424190	7
424284	7
424380	7
424549	7
426363	7
429736	7
448592	7
453324	7
453872	7
454344	7
454951	7
454974	7
455577	7
455655	7
455847	7
455989	7
455999	7
456489	7
459078	7
459466	7
460222	7
461342	7
461387	7
461780	7
463942	7
464149	7
465073	7
465275	7
465294	7
465435	7
465578	7
469639	7
471771	7
473612	7
474822	7
475901	7
476006	7
476137	7
476231	7
476421	7
477909	7
478027	7
478322	7
478461	7
478849	7
479101	7
479118	7
479122	7
479143	7
479144	7
479210	7
479221	7
479314	7
479387	7
479464	7
479465	7
479560	7
479812	7
480229	7
480242	7
480287	7
480413	7
480835	7
480991	7
481008	7
481443	7
481800	7
482786	7
483053	7
483180	7
483181	7
483447	7
483877	7
484182	7
488626	7
488848	7
489642	7
489935	7
490397	7
491567	7
491816	7
491967	7
492260	7
492387	7
100636	6
400106	6
400201	6
403905	6
406542	6
406762	6
406861	6
407297	6
408106	6
408156	6
408780	6
408899	6
409709	6
409756	6
411062	6
411396	6
411736	6
417101	6
417182	6
423706	6
423734	6
423817	6
423877	6
424224	6
424273	6
424679	6
426437	6
426484	6
426963	6
437597	6
448044	6
449143	6
451996	6
454099	6
454235	6
454455	6
455634	6
455786	6
455970	6
456003	6
456383	6
456425	6
458106	6
458598	6
459079	6
460482	6
464121	6
464278	6
464478	6
464603	6
465053	6
465072	6
465129	6
469979	6
473171	6
473185	6
473625	6
473626	6
474046	6
474111	6
475899	6
476111	6
476452	6
476571	6
476573	6
476824	6
477079	6
477722	6
478225	6
478274	6
478308	6
478611	6
478725	6
478978	6
479209	6
479403	6
480285	6
480286	6
480304	6
480368	6
480432	6
480801	6
482934	6
483112	6
483232	6
483760	6
485757	6
486189	6
490631	6
492213	6
492398	6
495767	6
100336	5
100387	5
100535	5
100810	5
403878	5
403904	5
407126	5
407138	5
408103	5
408108	5
408636	5
410959	5
411419	5
412297	5
416762	5
423553	5
423687	5
423778	5
424101	5
424588	5
424602	5
424603	5
424605	5
429835	5
447735	5
448283	5
449795	5
451696	5
452004	5
453092	5
453378	5
453648	5
454123	5
454190	5
454448	5
454834	5
454970	5
455051	5
455904	5
455907	5
455917	5
455919	5
455926	5
455944	5
455967	5
456133	5
456209	5
456363	5
457304	5
461767	5
463064	5
463140	5
463183	5
463446	5
463910	5
463959	5
463960	5
464291	5
464311	5
464460	5
464710	5
465124	5
465135	5
465206	5
465211	5
465855	5
466330	5
472006	5
474765	5
475553	5
475869	5
476273	5
476277	5
476680	5
476924	5
476931	5
476947	5
477325	5
477679	5
478068	5
478271	5
478627	5
478700	5
478724	5
478744	5
478923	5
478961	5
478984	5
479048	5
479086	5
479091	5
479111	5
479186	5
479205	5
479271	5
479309	5
479454	5
