"consignee","product","weightKG"
"NISSIN TRANSPORT (CANADA) INC.","BUCKETS AND PAILS OF PLASTIC",8804
"UNITED SEAFOOD ENTERPRISES LP","PO NO. USFP1500-09STH 0914578FROZEN RAW FARM-RAISED VANNAMEIWHITE SHRIMP HEADLESS EASY PEELIQF 'CAPE GOURMET' BRANDNW : 33,000.00 LBS.;DOOR DELIVERY TOVERSACOLD GOULDSBORO200 1ST AVENUE, GOULDSBORO PA18424 USA.PHONE : 570-842-1050 EXT 154;'FREIGHT PREPAID' AND'DDC CHARGE ARE PREPAID';PACKER/MANUFACTURER FULL NAME ANDADDRESS:-OKEANOS CO., LTD.30 EKACHAI ROAD, TAMBON NADEE,MUANG DISTRICT, SAMUTH SAKHONPROVINCE, THAILANDUSFDA REGISTRATION NO. 11039988394;CUSTOMS CLEARANCE LOCATION ATNEW YORK, USA.;'CARGO IS STOWED IN A REFRIGERATEDCONTAINER SET AT THE SHIPPER-SREQUESTED CARRYING TEMPERATURE OFMINUS EIGHTEEN (-18) DEGREESCELSIUS'",18150
"HNK INC","KOREAN STYLE STARCH NOODLE SHIPPERS DESIRE TO STATE THAT THIS SHIPPMENT CONTAINS NO WOOD PACKING MATERIAL",14246
"COSTCO WHOLESALE CORPORATION","AZ 50CAN T/TOP COOLER W/RHINOTECH AZ 50CAN T/TOP COOLER W/RHINOTECH,TS#32706 PO#171-1022-499 IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM",4303
"DISTRIBUIDORA CELIMAR E.I.R.L.","960 CTNUMBRELLA",19680
"COSTCO WHOLESALE CORPORATION999 LAK","UPHOLSTERY SOFA PO 179-1224767 S-C#GB15-0122 AMS PREPAID IF APPLICABLE CPSIA URL -WWW. COSTCOCPSIA.COM FREIGHT COLLECT",3820
"UNITED CARGO MANAGEMENT INC","2-VINYL PYRIDINE UN NO 3073,IMO CLASS 6.1 1TANK EMPTY TANK CONTAINER 'LAST CONTAINED 2-VINYL PYRIDINE CL6.1,UN3073,PGII(3.3.8)' HS CODE 8609.00.00.00-9 AMS#20150600143 SHIPPER'S OWN CONTAINER",4209
"WAL-MART STORES, INC.","HAMILTON BEACH MICROWAVE OVEN P.O.NO.: 9706539575 ASST.NO.OR WAL-MART ITEM NO.: 0001573848 SUPPLIER STOCK NUMBER: PO TYPE NUMBER :0023 EXPORTER DECLARE WMS G-LOCATION NO. 0078742000008 HTS CODE: 8516500060 SHIPPER-S LOAD STOW AND COUNT",5261
"WAL-MART STORES, INC.","LIGHT UP MOLECULE BALLS ASST P.O.NO.8401734115 ASST.NO.OR WAL-MART ITEM NO. 000740294 SUPPLIER STOCK NUMBER PO TYPE NUMBER0023 WMS G-LOCATION NO. 0078742000008 HTS CODE9503900080 SHIPPERS LOAD STOW AND COUNT",817
"COSTCO WHOLESALE CORPORATION999 LAK","FOLDING CHAIR PO 262-0703430 S-C#GB12-0122 AMS PREPAID IF APPLICABLE CPSIA URL -WWW. COSTCOCPSIA.COM ABX-SZX FREIGHT COLLECT",5018
"KOHYO AMERICA, INC.","FROZEN NOODLE / UDON, FROZEN GROUND HORSERADI HS CODE 190219, 091099,210690",18200
"TROPIC SUPPLY","COMPRESSOR, TO BE OFFLOADED & NOT RETURNON BOARD,MADE IN US,VALUE$50,SEE PO#HQ431868S",6
"UNITED CARGO LINES C O HANSEN SHIP","1 X CATERPILLAR 308E TRACKED EXCAVATOR SERIALNUMBER FJX02271",8400
"COSTCO WHOLESALE CANADA LTD","AIR COMPRESSOR PO NO. 571-1012-215 20 GAL VERTICAL AIR COMPRESSOR ITEM#841160 (ALLTRADE PO#112736) HS CODE 841480 THE SAME THE SAME THE SAME THE SAME",9600
"THE FISHIN' COMPANY","FROZEN TILAPIA FILLET, 8X4LB/C TN, PO#:T1535-41 BRAND NAME: WM. FARM RAISED. PRODUCER/MA NUFACTURER'S NAME: ZHANJIAN G SHUANGHU FOOD CO., LTD. FDA REGISTRATION NUMBER: 165755 06380 PLANT NUMBER:4400/02334 BEST BY DATE: 06/09/2017 AC C NO:P10400 THIS SHIPMENT CON TAINS NO SOLID WOOD PACKING MA TERIAL. THE CARGO IS STOWED U NDER -20DC DEGREE REEFER CONTA INER. N/M",23307
"F.W. BRYCE INCORPORATION","1 X 40FT LCL/LCL REEFER NETT WEIGHT 14528 KGS",15254
"NISSIN INTERNATIONAL TRANSPORT USA","(1X20 GP) CONTAINER - 8 PALLETS (3,700 PCS) O ASSY FOR AUTOMOTIVE PART 111-7415-001 ARM ASS 45E AT HONG KONG CONNECTING ONTO MV SHANGHAI",1696
"CARNIVAL CRUISE LINES","ASSORTED TABLE NUMBER/TO BE OFFLOADED AND",7
"M S SALWAN TRADING INC","ASSORTED SPICES",14910
"COSTCO WHOLESALE CORPORATION999 LAK","UPHOLSTERED FURNITURE PO 288-0928506 FURNITURE ROLLOUT ITEM 562187 S-C#GB12-0122 AMS PREPAID IF APPLICABLE CPSIA URL -WWW. COSTCOCPSIA.COM FREIGHT COLLECT",7895
"MANDALAY TRADING CORPORATION","PHILIPPINE FOODSTUFFSSUCH AS BANANA SAUCESO# H-4501",1488
"TOYOTA TSUSHO AMERICA INC","STEEL PIPES NOS STEEL PIPES NOS STEEL PIPES NOS STEEL PIPES NOS STEEL PIPES NOS",87050
"UPS SUPPLY CHAIN SOLUTIONS","GAP BED LATHE GAP BED LATHE @@TEL:83486789-4120 FAX:83487180 E-MAIL:CXLI@UPS-SCS.COM THE SAME",18500
"COSTCO WHOLESALE CORPORATION999 LAK","GARDEN CHAIR-TABLE PO 960-0906717 S-C#GB12-0122 AMS PREPAID IF APPLICABLE CPSIA URL -WWW. COSTCOCPSIA.COM FREIGHT COLLECT",3475
"WYNN LAS VEGAS","LOCKS FOR EXISTING SHOW WINDOWH.C.: 731441/940390",275
"VERSA PRODUCTS CO INC","PARTS FOR PENEUMATIC VALVES",3715
"HELLMANN WORLDWIDE LOGISTICS INC","HOLIDAY DECOR CHRISTMAS HOLIDAY DECOR CHRISTMAS DECORATION LIGHTS SET NO DESCRIPTION NO DESCRIPTION NO DESCRIPTION NO DESCRIPTION NO DESCRIPTION NO DESCRIPTION NO DESCRIPTION",16848
"CENSEA, INC.","VIETNAM FROZEN RAW PEELED DEVEINED P.O. 50658B (CONTRACT NO. 001/CEN-SPDX-2014) VIETNAM FROZEN RAW PEELED DEVEINED VANNAMEI, PACKED 5/2 CENSEA BRAND (PENAEUS VANNAMEI) VIETNAM FROZEN COOKED PEELED DEVEINED VANNAMEI, PACKED 5/2 CENSEA BRAND (PENAEUS VANNAMEI) COMMERCIAL INVOICE NO. 080/14 G.W 36,300.00 LBS (16,465.423 KGS) PRODUCT TO BE DELIVERED TO PREFERRED COLD STORAGE - NEWARK, NJ ADDRESS 360 AVENUE P, NEWARK, NJ 07105 PHONE 973-820 4000REEFER CONTAINER TEMPERATURE SET AT -18.0 DEGREES CELSIUS NAME, ADD & TEL NO. OF THE CARRYING VESSEL AGENT AT THE PORT OF DISCHARGE",16465
"STAR FOOD PRODUCTS INCORPORATION","FROZEN SHRIMP",18305
"BUMBLE BEE FOODS LLC","FOODSTUFF",18000
"VINH SANH TRADING CORPORATION","CANNED COCONUT CREAM",20400
"QUALITY AUTOMOTIVE DISTRIBUTION INC","ELECTRICAL FUEL PUMP PURPOSE:IT CAN BE USED FOR AUTOMOBILE",100
"VINH HOAN (USA) INC.","FROZEN SWAI FILLET FDA REGIST RATION NUMBER : 12919869006 C ONTAINER TO BE SET AT MINUS 18 DEGREES CELCIUS N.W: 39,000. 00 LBS G.W: 41,600.00 LBS",18909
