consignee,numManufacturers,numImporters,frac of KG shipped when manu equals shipper,normalizedWeight,numUSports,consignee inexperienced,avg dist manu - place of receipt,avg dist place of receipt - foreign port,transnatl manu - place of receipt,transnatl place of receipt - foreign port,distance consignee - US port,shipment variation,manufacturer variation,manufacturer dispersion,chineseShipments,numSampled,numRefused,inspected prior to 2009,inspected in 2009,bad inspection in 2009
Censea Inc,2,1,1.0,0.5134618944025476,2,0.0,2.533860722102683,3.445314989880813,0.0,1.0,3.685090570086392,0.0031622776601683794,0.0031622776601683794,0.4346937618219662,0.0,0.3010299956639812,0.0,0.0,0.0,0.0
DEVI SEA FOODS INC.,1,1,0.0,0.8460722817299166,1,0.0,2.3369570716586625,3.097607234806105,0.0,1.0,3.8871146456065,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nishimoto Trading Co Ltd,1,1,0.0,0.17261923272259005,1,0.0,1.4569252486074185,3.2442635942872595,0.0,1.0,3.196796360171082,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"La Gloria Seafood Imports, Llc",1,1,1.0,1.6921446731816072,1,0.0,1.653819182690491,3.2355160805815055,0.0,1.0,4.188144669430936,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEAFRESH TRADING INC,2,1,1.0,0.23166836017851963,1,0.0,2.889488110473489,3.5508942685987277,0.0,1.0,3.3347589904111112,0.47140923481266955,0.0031622776601683794,0.6801942762496793,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0
Eastern Fish Company,2,1,0.5340884524136013,0.7445470531860379,2,0.0,1.9310390798318124,0.0,0.0,0.5,3.831599327384501,0.0,0.0,0.6908213316329908,0.0,0.0,0.0,1.0,0.0,0.0
"Mical Seafood, Inc.",2,1,1.0,0.1398062911730363,4,0.0,NaN,NaN,0.0,1.0,3.120857117304753,0.2828455408876017,0.47140923481266955,0.4101162795310149,0.0,0.0,0.0,0.0,0.0,0.0
Gulf King Seafood Co,2,1,1.0,0.050101468819720614,1,0.0,2.4429787438760058,0.0,0.5,1.0,2.663844410417635,0.47140923481266955,0.47140923481266955,0.686548431613432,0.0,0.0,0.0,0.0,0.0,0.0
Cape Florida Trading Corp,2,1,1.0,0.34400609026300777,1,0.0,NaN,NaN,1.0,1.0,3.498962884064683,0.0031622776601683794,0.0031622776601683794,0.43054669853707506,0.0,0.0,0.0,0.0,0.0,0.0
"Pescanova,  Inc",6,1,0.9930519181314027,4.152209665271934,4,0.0,1.4735072318735694,3.2423866792447695,0.2,0.4,4.595443825555044,6.324555320336759e-4,0.20203252920542983,0.211039713786029,0.0,0.3010299956639812,0.0,1.0,0.0,0.0
