"","Consignees","Number.of.shipments","Number.of.US.ports","Number.of.shippers","Number.of.manufacturers","Number.of.sampled","Number.of.refused","Fraction.of.sampled","Fraction.of.refused.out.of.sampled","Normalized.weight","Fraction.of.weight.of.shipment.where.manufacturer.is.also.shipper","log.distance.consignee.US.port","coef.var.number.of.manufacturers.per.year","coef.var.number.of.shipments.per.year","total.weight.below.10.","Product.diversity","Inspected","Inspection.outcome","inspection_score","risk_score"
"1","Consignees",28479,22,240,181,1329,39,0.046665964,0.029345372,1.955967677,0.999390087,3.048985251,0.619237653,0.861812601,0,0.645990848,0,0,3.67381085670788e-18,0.596891757148986
"2","Consignees",25028,13,320,284,1296,65,0.051782004,0.050154321,0.016742587,0.54323326,1.273836099,0.398426768,0.591855271,0,0,1,1,5.79580250835459e-36,0.100317391883844
"3","Consignees",21986,23,106,93,2765,66,0.125761848,0.023869801,0.041394636,0.96979738,2.181659739,0.399288453,0.433087618,0,0,0,0,8.81928626624624e-09,0.802354248578108
"4","Consignees",21897,22,192,164,1372,34,0.062656985,0.024781341,3.56563582,0.989152572,3.115640656,0.195496777,0.406221376,0,3.541344755,1,1,1.91379395663212e-14,0.790166587342961
"5","Consignees",20310,23,83,87,1582,106,0.077892664,0.067003793,3.858880226,0.98688638,3.389335009,0.22607235,0.364999937,0,0,0,0,0.000576811038141982,0.833619566716153
"6","Consignees",16777,11,325,280,1542,82,0.091911546,0.053177691,0.025528533,0.85480941,0.982707951,0.194317307,0.354718276,0,0,0,0,2.68371961820477e-36,0.0693194111421945
"7","Consignees",16482,12,338,279,1400,106,0.084941148,0.075714286,0.017081463,0.463777248,1.632597233,0.569262477,0.744309388,0,2.21760117,0,0,2.54914903218598e-35,0.272947594926571
"8","Consignees",14372,18,184,135,483,39,0.033607014,0.080745342,1.678969241,0.945387926,3.090579073,0.580609936,0.798886742,0,1.304888658,0,0,1.15354611642093e-13,0.773804893061462
"9","Consignees",13515,21,177,132,862,27,0.063780984,0.031322506,0.133816652,0.869848647,3.42087926,0.216853583,0.164718297,0,0.307785625,0,0,1.72176633358484e-14,0.769436462148173
"11","Consignees",12135,6,100,84,1070,35,0.088174701,0.03271028,0.02992957,0.927543404,2.523127106,0.137585618,0.185635559,0,0,0,0,1.42362559559419e-12,0.07212866617335
"12","Consignees",10918,10,177,146,720,44,0.065946144,0.061111111,0.163726137,0.437412163,1.671594531,0.185915712,0.334631107,0,0,0,0,5.91822407383027e-19,0.147698011158135
"13","Consignees",10882,12,34,22,190,5,0.017460026,0.026315789,0.01087596,0.342182203,2.566078396,0.330411255,0.324938618,0,0,0,0,0.0237487648386243,0.956042092310737
"14","Consignees",10713,13,21,13,336,10,0.031363764,0.029761905,0.150228097,0.8029441,2.868932585,0.324588441,0.337755529,0,0,0,0,0.128275585225415,0.986443236245127
