Name,City,State,Country/Area,Date,Project Area,District Decision,Type
King & Prince Seafood,Brunswick,GA,US,2010-06-04,Foodborne Biological Hazards,VAI,publicDB match
King & Prince Seafood,Brunswick,GA,US,2012-08-22,Foodborne Biological Hazards,NAI,publicDB match
"Inland Seafood, Inc.",Tucker,GA,US,2010-09-20,Foodborne Biological Hazards,VAI,publicDB match
"Inland Seafood, Inc.",Tucker,GA,US,2011-09-09,Food and Color Additives Petition Review,NAI,publicDB match
"Inland Seafood, Inc.",Tucker,GA,US,2011-09-09,Foodborne Biological Hazards,VAI,publicDB match
"Inland Seafood, Inc.",Tucker,GA,US,2011-09-09,Pesticides and Chemical Contaminants,VAI,publicDB match
"Inland Seafood, Inc.",Tucker,GA,US,2012-08-29,Foodborne Biological Hazards,NAI,publicDB match
Ocean Foods Inc,Atlanta,GA,US,2011-05-02,Foodborne Biological Hazards,VAI,publicDB match
Maruchan Virginia Incorporated,Richmond,VA,US,2009-09-21,Foodborne Biological Hazards,NAI,publicDB match
Maruchan Virginia Incorporated,Richmond,VA,US,2010-08-02,Foodborne Biological Hazards,VAI,publicDB match
Maruchan Virginia Incorporated,Richmond,VA,US,2010-08-02,"Food Composition, Standards, Labeling and Econ",VAI,publicDB match
Maruchan Virginia Incorporated,Richmond,VA,US,2011-08-31,Foodborne Biological Hazards,NAI,publicDB match
Maruchan Virginia Incorporated,Richmond,VA,US,2015-07-08,Foodborne Biological Hazards,VAI,publicDB match
"Global Marketing Enterprises, Inc.",Chicago,IL,US,2015-07-08,Foodborne Biological Hazards,VAI,publicDB match
Supreme Lobster & Seafood Co.,Villa Park,IL,US,2009-06-02,Foodborne Biological Hazards,VAI,publicDB match
Supreme Lobster & Seafood Co.,Villa Park,IL,US,2010-06-07,Foodborne Biological Hazards,NAI,publicDB match
Lien Hoa Food Corp.,Chicago,IL,US,2010-06-14,Foodborne Biological Hazards,NAI,publicDB match
Houston Seafood Corp.,Houston,TX,US,2014-03-07,Foodborne Biological Hazards,VAI,publicDB match
"Makola Imports, Inc",Houston,TX,US,2014-12-30,Foodborne Biological Hazards,VAI,publicDB match
Mv & Sons Texas LP,Houston,TX,US,2009-05-19,Foodborne Biological Hazards,VAI,publicDB match
Mv & Sons Texas LP,Houston,TX,US,2010-08-26,Food and Color Additives Petition Review,VAI,publicDB match
Mv & Sons Texas LP,Houston,TX,US,2010-08-26,Foodborne Biological Hazards,VAI,publicDB match
Mv & Sons Texas LP,Houston,TX,US,2010-08-26,Pesticides and Chemical Contaminants,VAI,publicDB match
Mv & Sons Texas LP,Houston,TX,US,2012-03-27,Foodborne Biological Hazards,VAI,publicDB match
"Gulf King Services, Inc",Aransas Pass,TX,US,2010-11-15,Pesticides and Chemical Contaminants,NAI,publicDB match
"Gulf King Services, Inc",Aransas Pass,TX,US,2011-03-29,Foodborne Biological Hazards,NAI,publicDB match
"Gulf King Services, Inc",Aransas Pass,TX,US,2011-03-29,Pesticides and Chemical Contaminants,NAI,publicDB match
"Tampa Bay Fisheries, Inc.",Dover,FL,US,2009-03-02,Foodborne Biological Hazards,VAI,publicDB match
"Tampa Bay Fisheries, Inc.",Dover,FL,US,2010-06-28,Pesticides and Chemical Contaminants,NAI,publicDB match
"Tampa Bay Fisheries, Inc.",Dover,FL,US,2013-09-03,Foodborne Biological Hazards,NAI,publicDB match
"Tampa Bay Fisheries, Inc.",Dover,FL,US,2013-09-03,Pesticides and Chemical Contaminants,NAI,publicDB match
"Keys Fisheries, Inc.",Marathon,FL,US,2011-03-15,Food and Color Additives Petition Review,NAI,publicDB match
"Keys Fisheries, Inc.",Marathon,FL,US,2011-03-15,Foodborne Biological Hazards,VAI,publicDB match
"Keys Fisheries, Inc.",Marathon,FL,US,2011-03-15,Pesticides and Chemical Contaminants,NAI,publicDB match
"Jomara Seafood, Inc.",Hialeah,FL,US,2011-06-21,Food and Color Additives Petition Review,NAI,publicDB match
"Jomara Seafood, Inc.",Hialeah,FL,US,2011-06-21,Foodborne Biological Hazards,VAI,publicDB match
"Jomara Seafood, Inc.",Hialeah,FL,US,2011-06-21,Pesticides and Chemical Contaminants,NAI,publicDB match
"Bama Sea Products,  Inc.",St Petersburg,FL,US,2009-04-24,Foodborne Biological Hazards,VAI,publicDB match
"Bama Sea Products,  Inc.",St Petersburg,FL,US,2010-06-30,Pesticides and Chemical Contaminants,NAI,publicDB match
"Bama Sea Products,  Inc.",St Petersburg,FL,US,2010-08-30,Foodborne Biological Hazards,VAI,publicDB match
Performance Food Group Inc.,Miami,FL,US,2013-07-02,Foodborne Biological Hazards,VAI,publicDB match
Performance Food Group Inc.,Miami,FL,US,2013-07-02,Pesticides and Chemical Contaminants,VAI,publicDB match
"Pacific Coral Seafood, Inc.",Miami,FL,US,2011-01-27,Foodborne Biological Hazards,VAI,publicDB match
Bailey's Seafood Inc,Lakeland,FL,US,2010-09-27,Foodborne Biological Hazards,VAI,publicDB match
"Pescanova,  Inc",Coral Gables,FL,US,2008-10-10,Foodborne Biological Hazards,NAI,publicDB match
"Pescanova,  Inc",Coral Gables,FL,US,2011-01-28,Foodborne Biological Hazards,VAI,publicDB match
Caribco Shrimp Corporation,Miami,FL,US,2010-02-02,Foodborne Biological Hazards,NAI,publicDB match
Kingmar Seafood Corp,Miami,FL,US,2010-04-26,Foodborne Biological Hazards,VAI,publicDB match
Interoceanic Seafood Corporation,Miami,FL,US,2013-04-09,Foodborne Biological Hazards,VAI,publicDB match
Harvest Valley Inc.,Miami Lakes,FL,US,2011-02-04,Foodborne Biological Hazards,VAI,publicDB match
Harvest Valley Inc.,Miami Lakes,FL,US,2011-09-20,Foodborne Biological Hazards,OAI,publicDB match
Harvest Valley Inc.,Miami Lakes,FL,US,2012-11-27,Foodborne Biological Hazards,OAI,publicDB match
Harvest Valley Inc.,Miami Lakes,FL,US,2014-01-06,Foodborne Biological Hazards,OAI,publicDB match
Harvest Valley Inc.,Miami Lakes,FL,US,2015-04-21,Food and Color Additives Petition Review,NAI,publicDB match
Harvest Valley Inc.,Miami Lakes,FL,US,2015-04-21,Foodborne Biological Hazards,VAI,publicDB match
Harvest Valley Inc.,Miami Lakes,FL,US,2015-04-21,Pesticides and Chemical Contaminants,NAI,publicDB match
Seajoy Seafood Corporation,Miami,FL,US,2015-10-15,Foodborne Biological Hazards,VAI,publicDB match
Sea Snack Foods Inc,Los Angeles,CA,US,2009-09-23,Foodborne Biological Hazards,NAI,publicDB match
