,x,,,,,,,Variables,Dim.1,Dim.2,Dim.3
1,,,,,,,,actuation,-0.003,0.892,0.385
2,Call:,,,,,,,alloy,-0.003,0.892,0.385
3,PCA(X = as.matrix(dtm)) ,,,,,,,arthropods,-0.003,0.892,0.385
4,,,,,,,,asymmetric,-0.003,0.892,0.385
5,,,,,,,,carrying,-0.003,0.892,0.385
6,Eigenvalues,,,,,,,catalyst,-0.003,0.892,0.385
7,                       Dim.1   Dim.2   Dim.3   Dim.4   Dim.5   Dim.6,,,,,,,catalytic,-0.003,0.892,0.385
8,Variance              55.992  44.008  43.520  42.822  41.081  40.670,,,,,,,climbing,-0.003,0.892,0.385
9,% of var.              0.618   0.486   0.481   0.473   0.454   0.449,,,,,,,coating,-0.003,0.892,0.385
10,Cumulative % of var.   0.618   1.104   1.585   2.058   2.512   2.961,,,,,,,exothermic,-0.003,0.892,0.385
11,                       Dim.7   Dim.8   Dim.9  Dim.10  Dim.11  Dim.12,,,,,,,flat,-0.003,0.892,0.385
12,Variance              39.686  37.669  36.942  36.151  35.003  34.293,,,,,,,friction,-0.003,0.892,0.385
13,% of var.              0.438   0.416   0.408   0.399   0.387   0.379,,,,,,,fuelpowered,-0.003,0.892,0.385
14,Cumulative % of var.   3.399   3.815   4.223   4.622   5.009   5.388,,,,,,,inclines,-0.003,0.892,0.385
15,                      Dim.13  Dim.14  Dim.15  Dim.16  Dim.17  Dim.18,,,,,,,insects,-0.003,0.892,0.385
16,Variance              34.115  33.605  33.109  32.855  32.715  32.331,,,,,,,lightest,-0.003,0.892,0.385
17,% of var.              0.377   0.371   0.366   0.363   0.361   0.357,,,,,,,locomote,-0.003,0.892,0.385
18,Cumulative % of var.   5.764   6.135   6.501   6.864   7.225   7.582,,,,,,,locomoting,-0.003,0.892,0.385
19,                      Dim.19  Dim.20  Dim.21  Dim.22  Dim.23  Dim.24,,,,,,,locomotion,-0.003,0.892,0.385
20,Variance              31.057  30.119  29.339  29.042  28.730  28.606,,,,,,,methanol,-0.003,0.892,0.385
21,% of var.              0.343   0.333   0.324   0.321   0.317   0.316,,,,,,,microrobots,-0.003,0.892,0.385
22,Cumulative % of var.   7.925   8.258   8.582   8.903   9.220   9.536,,,,,,,milligram,-0.003,0.892,0.385
23,                      Dim.25  Dim.26  Dim.27  Dim.28  Dim.29  Dim.30,,,,,,,outdoors,-0.003,0.892,0.385
