DocumentType	PHR	SA	BI	BPI	PRR	BCI	total	rank
CPG1	0	0	12	0	27	0	39	59
CPG2	18	0	14	0	27	0	59	11
CPG3	0	0	12	0	15	18	45	24
CPG4	0	0	12	0	15	18	45	25
CPG5	0	0	14	0	27	0	41	30
CPG6	0	0	14	0	27	0	41	31
CPG7	0	0	14	0	27	0	41	32
CPG8	0	0	14	0	27	0	41	33
CPG9	0	0	14	0	27	0	41	34
CPG10	0	0	14	0	27	0	41	35
CPG11	0	0	14	0	27	0	41	36
CPG12	0	0	14	0	27	0	41	37
CPG13	0	0	14	0	27	0	41	38
CPG14	0	0	14	0	27	0	41	39
CPG15	0	0	14	0	27	0	41	40
CPG16	0	0	14	0	27	0	41	41
CPG17	0	0	14	0	27	0	41	42
CPG18	0	0	14	0	27	0	41	43
CPG19	0	0	12	0	27	0	39	45
CPG20	0	0	12	0	27	0	39	46
CPG21	0	0	12	0	27	0	39	47
CPG22	0	0	12	0	27	0	39	48
CPG23	0	0	12	0	27	0	39	49
CPG24	0	0	12	0	27	0	39	50
CPG25	0	0	12	0	27	0	39	51
CPG26	0	0	12	0	27	0	39	52
CPG27	0	0	12	0	27	0	39	53
CPG28	0	0	12	0	27	0	39	54
CPG29	0	0	12	0	27	0	39	55
CPG30	0	0	12	0	27	0	39	56
CPG31	0	0	12	0	27	0	39	57
CPG32	0	0	12	0	27	0	39	58
CPG33	0	0	12	0	27	0	39	60
CPG34	0	0	12	0	27	0	39	61
CPG35	0	0	12	0	27	0	39	62
CPG36	0	0	12	0	27	0	39	63
CPG37	0	0	12	0	27	0	39	64
CPG38	0	0	12	0	27	0	39	65
CPG39	0	0	12	0	27	0	39	66
CPG40	0	0	12	0	27	0	39	67
CPG41	0	0	12	0	27	0	39	68
CPG42	0	0	14	0	21	0	35	69
CPG43	0	0	12	0	21	0	33	71
CPG44	0	0	12	0	21	0	33	72
CPG45	0	0	12	0	21	0	33	73
CPG46	0	0	14	0	15	0	29	108
CPG47	0	0	0	0	27	0	27	109
CPGM1	18	15	30	9	15	0	87	4
CPGM2	18	15	12	9	15	0	69	5
CPGM3	0	0	30	0	21	0	51	12
CPGM4	0	0	12	0	21	0	33	70
CPGM5	0	0	12	0	21	0	33	106
CPGM6	0	0	14	0	15	0	29	107
IOM1	0	15	28	0	21	0	64	7
IOM2	0	0	28	0	21	12	61	9
IOM3	0	0	28	0	21	12	61	10
IOM4	0	0	28	0	21	0	49	13
IOM5	0	0	28	0	21	0	49	14
IOM6	0	0	28	0	21	0	49	15
IOM7	0	0	28	0	21	0	49	16
IOM8	0	0	28	0	21	0	49	17
IOM9	0	0	28	0	21	0	49	18
IOM10	0	15	12	0	21	0	48	23
IOM11	0	0	28	0	15	0	43	26
IOM12	0	0	28	0	15	0	43	27
IOM13	0	0	20	0	21	0	41	44
IOM14	0	0	12	0	21	0	33	74
IOM15	0	0	12	0	21	0	33	75
IOM16	0	0	12	0	21	0	33	76
IOM17	0	0	12	0	21	0	33	77
IOM18	0	0	12	0	21	0	33	78
IOM19	0	0	12	0	21	0	33	79
IOM20	0	0	12	0	21	0	33	80
IOM21	0	0	12	0	21	0	33	81
IOM22	0	0	12	0	21	0	33	82
IOM23	0	0	12	0	21	0	33	83
IOM24	0	0	12	0	21	0	33	84
IOM25	0	0	12	0	21	0	33	85
IOM26	0	0	12	0	21	0	33	86
IOM27	0	0	12	0	21	0	33	87
IOM28	0	0	12	0	21	0	33	88
IOM29	0	0	0	0	27	0	27	110
IOM30	0	0	12	0	15	0	27	111
IOM31	0	0	12	0	15	0	27	112
RN1	0	0	0	0	21	0	21	113
RPM1	0	30	14	15	21	18	98	1
RPM2	0	30	14	15	21	18	98	2
RPM3	0	30	14	15	21	18	98	3
RPM4	18	0	14	9	21	6	68	6
RPM5	0	30	12	0	21	0	63	8
RPM6	0	0	28	0	21	0	49	19
RPM7	0	0	28	0	21	0	49	20
RPM8	0	0	28	0	21	0	49	21
RPM9	0	0	28	0	21	0	49	22
RPM10	0	0	12	9	21	0	42	28
RPM11	0	0	12	9	21	0	42	29
RPM12	0	0	12	0	21	0	33	89
RPM13	0	0	12	0	21	0	33	90
RPM14	0	0	12	0	21	0	33	91
RPM15	0	0	12	0	21	0	33	92
RPM16	0	0	12	0	21	0	33	93
RPM17	0	0	12	0	21	0	33	94
RPM18	0	0	12	0	21	0	33	95
RPM19	0	0	12	0	21	0	33	96
RPM20	0	0	12	0	21	0	33	97
RPM21	0	0	12	0	21	0	33	98
RPM22	0	0	12	0	21	0	33	99
RPM23	0	0	12	0	21	0	33	100
RPM24	0	0	12	0	21	0	33	101
RPM25	0	0	12	0	21	0	33	102
RPM26	0	0	12	0	21	0	33	103
RPM27	0	0	12	0	21	0	33	104
RPM28	0	0	12	0	21	0	33	105
