total	Rank	Document_type
59	6	CPG
45	13	CPG
45	14	CPG
41	15	CPG
41	16	CPG
41	17	CPG
41	18	CPG
41	19	CPG
41	20	CPG
41	21	CPG
41	22	CPG
41	23	CPG
41	24	CPG
41	25	CPG
41	26	CPG
41	27	CPG
41	28	CPG
39	39	CPG
39	40	CPG
39	41	CPG
39	42	CPG
39	43	CPG
39	44	CPG
39	45	CPG
39	46	CPG
39	47	CPG
39	48	CPG
39	49	CPG
39	50	CPG
39	51	CPG
39	52	CPG
39	53	CPG
39	54	CPG
39	55	CPG
39	56	CPG
39	57	CPG
39	58	CPG
39	59	CPG
39	60	CPG
39	61	CPG
39	62	CPG
35	64	CPG
33	68	CPG
33	69	CPG
33	70	CPG
27	76	CPG
27	77	CPG
87	1	CPGM
69	5	CPGM
51	10	CPGM
33	67	CPGM
29	74	CPGM
29	75	CPGM
55	8	IOM
49	11	IOM
49	12	IOM
40	29	IOM
40	30	IOM
40	31	IOM
40	32	IOM
40	33	IOM
40	34	IOM
39	63	IOM
34	65	IOM
34	66	IOM
32	73	IOM
24	78	IOM
24	79	IOM
24	80	IOM
24	81	IOM
24	82	IOM
24	83	IOM
24	84	IOM
24	85	IOM
24	86	IOM
24	87	IOM
24	88	IOM
24	89	IOM
24	90	IOM
24	91	IOM
24	92	IOM
18	110	IOM
18	111	IOM
12	112	IOM
86	2	RPM
86	3	RPM
86	4	RPM
56	7	RPM
54	9	RPM
40	35	RPM
40	36	RPM
40	37	RPM
40	38	RPM
33	71	RPM
33	72	RPM
24	93	RPM
24	94	RPM
24	95	RPM
24	96	RPM
24	97	RPM
24	98	RPM
24	99	RPM
24	100	RPM
24	101	RPM
24	102	RPM
24	103	RPM
24	104	RPM
24	105	RPM
24	106	RPM
24	107	RPM
24	108	RPM
24	109	RPM
