Program_Risk_Code	Work_Accomplishment_ID	Operation_Date_FY	Operation_Date	Inspection_PAC_List	Total_Employees	Total_Hours_Spent
FFHR	1767499	2011	5/9/2011	03803	2	86.00
FFHR	1815620	2010	10/29/2009	03842,03842H	3	74.00
FFHR	2292099	2010	10/23/2009	03803,21008,21R829,29001	2	72.00
FFHR	2599757	2010	1/14/2010	18029C	1	10.00
FFHR	3008835	2011	10/1/2010	18029A	1	32.00
FFHR	3052057	2011	9/14/2011	03847,03847H	1	24.00
FFHR	3130303	2010	11/23/2009	03803	2	40.00
FFHR	3377279	2011	2/4/2011	18029A	1	26.00
FFHR	3407148	2011	5/24/2011	03803,03844H	1	63.00
FFHR	3409117	2011	1/10/2011	03847,03847H	1	20.00
FFHR	3512476	2010	3/15/2010	03803,03847,03847H	1	37.00
FFHR	3514299	2010	10/28/2009	03803,03803A	2	42.00
FFHR	3673767	2010	2/2/2010	18029A	1	40.00
FFHR	3673773	2010	4/2/2010	18029A	1	24.00
FFHR	3673778	2010	4/12/2010	18029A	1	24.00
FFHR	3673783	2010	3/24/2010	18029A	2	28.00
FFHR	3738688	2010	8/31/2010	03803,03847H	1	15.00
FFHR	3821322	2010	10/5/2009	03803	1	26.00
FFHR	3841848	2010	11/20/2009	03803,21005	1	49.00
FFHR	3848103	2010	8/16/2010	03803,03842,03842H	2	84.00
FFHR	3850076	2010	10/9/2009	18029A	1	7.50
FFHR	3850324	2010	10/1/2009	03803,21005	3	128.00
FFHR	3850670	2010	9/23/2010	03803,71009	1	8.00
FFHR	3851093	2010	10/6/2009	03842,03842H,18029A	3	404.00
FFHR	3857274	2010	7/13/2010	18029D	1	18.00
FFHR	3861674	2010	10/7/2009	18029D	2	47.00
FFHR	3861677	2010	10/2/2009	18029E	1	30.00
FFHR	3866316	2010	10/5/2009	03847,03847H,04847	1	22.00
FFHR	3868039	2010	10/21/2009	03803,04803,09803	2	29.00
FFHR	3876106	2010	10/27/2009	03803E,03842,03842H	1	29.00
FFHR	3876126	2010	11/3/2009	03803,03842,03842H	1	53.00
