Program_Risk_Code	Work_Accomplishment_ID	Operation_Date_FY	Operation_Date	Inspection_PAC_List	Total_Employees	Total_Hours_Spent
FFNR	3007605	2010	8/12/2010	18029A	1	3.00
FFNR	3008649	2011	10/6/2010	18029A	1	32.00
FFNR	3458872	2010	5/26/2010	03842,03842H,03844H	1	21.00
FFNR	3841197	2010	2/26/2010	03803,03803A	3	37.00
FFNR	3841855	2010	3/2/2010	03803,03803E,71009	1	24.00
FFNR	3851317	2010	8/18/2010	03842,03842H	1	20.50
FFNR	3861950	2010	10/26/2009	03037,03803	1	16.00
FFNR	3868834	2010	5/5/2010	03803	2	53.00
FFNR	3876111	2010	11/19/2009	03803,03842,03842H,21005	1	40.00
FFNR	3876116	2010	10/27/2009	03803	1	15.00
FFNR	3882798	2011	10/25/2010	18029A	1	20.00
FFNR	3882803	2010	9/3/2010	18029A	1	40.00
FFNR	3884874	2010	4/13/2010	18029A	2	2.50
FFNR	3884880	2010	4/12/2010	18029C	1	4.00
FFNR	3884885	2010	4/15/2010	18029A	3	5.50
FFNR	3884887	2010	9/2/2010	18029A	1	1.00
FFNR	3885445	2010	9/2/2010	18029A	1	1.00
FFNR	3885460	2010	4/14/2010	18029C	1	2.50
FFNR	3885682	2010	10/6/2009	03803,21005	1	5.00
FFNR	3885903	2010	4/20/2010	18029B	1	3.00
FFNR	3885909	2010	4/13/2010	18029A	2	5.00
FFNR	3885933	2010	7/1/2010	18029A	1	1.60
FFNR	3885938	2010	4/13/2010	18029A	2	4.50
FFNR	3885988	2010	4/13/2010	18029A	2	4.50
FFNR	3886398	2010	11/12/2009	03803	2	52.00
FFNR	3905785	2010	1/29/2010	03803,03842,03842H	1	55.00
FFNR	3906591	2010	11/20/2009	03803,29001,56002,82845S	1	20.00
FFNR	3907565	2010	10/1/2009	03803,03842	2	40.00
FFNR	3915261	2010	10/7/2009	03803,29001	1	96.00
FFNR	4094178	2010	2/4/2010	03803,82845B,82845S	2	7.00
FFNR	4109596	2010	11/17/2009	18029A	1	6.50
FFNR	4109598	2010	11/18/2009	18029A	1	5.50
FFNR	4109600	2010	11/18/2009	18029A	1	6.50
FFNR	4109602	2010	11/18/2009	18029A	1	5.50
FFNR	4109608	2010	11/18/2009	18029A	1	6.50
FFNR	4148435	2010	3/9/2010	03803	1	30.00
FFNR	4161907	2010	11/10/2009	03803,71009	1	26.00
FFNR	4162523	2010	3/29/2010	03842,03842H	1	20.00
FFNR	4249114	2010	9/29/2010	18029A	1	25.00
FFNR	4256986	2010	3/17/2010	03803,03803E,04803,09803	3	78.00
FFNR	4267895	2010	9/29/2010	03803,04803	3	39.00
FFNR	4285750	2010	11/19/2009	18029A	1	10.00
FFNR	4285775	2010	11/19/2009	18029A	1	9.50
FFNR	4285808	2010	11/16/2009	18029A	1	9.00
FFNR	4287224	2010	3/12/2010	18029A	1	12.00
FFNR	4287243	2010	3/12/2010	18029A	1	12.00
FFNR	4287658	2010	4/13/2010	18029A	2	48.00
FFNR	4288060	2010	8/31/2010	18029A	2	10.00
FFNR	4288083	2010	8/31/2010	18029A	2	6.00
FFNR	4288150	2010	10/29/2009	18029D	1	10.00
FFNR	4288163	2010	9/10/2010	18029A	1	12.00
FFNR	4288201	2010	2/23/2010	18029A	1	10.00
FFNR	4288229	2010	2/25/2010	18029D	1	12.00
FFNR	4288263	2010	12/10/2009	18029D	1	10.00
FFNR	4288267	2010	9/14/2010	18029D	1	16.00
FFNR	4288281	2010	8/6/2010	18029D	1	12.00
FFNR	4288328	2010	5/25/2010	18029D	1	10.00
FFNR	4289451	2010	5/5/2010	18029A	1	10.00
FFNR	4289485	2010	2/3/2010	18029A	1	10.00
FFNR	4289487	2010	2/3/2010	18029A	1	10.00
