HR2	HR3	NHR2	NHR3
1214.50	100.00	3.00	55.00
875.00	100.00	32.00	55.00
822.90	100.00	21.00	55.00
800.00	100.00	37.00	55.00
775.00	100.00	20.50	55.00
762.00	100.00	16.00	55.00
700.00	100.00	53.00	55.00
657.00	100.00	40.00	55.00
638.00	100.00	15.00	55.00
635.00	100.00	20.00	55.00
610.00	100.00	40.00	55.00
605.00	100.00	2.50	55.00
601.00	100.00	4.00	55.00
582.00	100.00	5.50	55.00
560.00	100.00	1.00	55.00
520.00	100.00	1.00	55.00
520.00	100.00	2.50	55.00
450.00	100.00	5.00	55.00
434.00	100.00	3.00	55.00
425.00	100.00	5.00	55.00
408.00	100.00	1.60	55.00
405.00	100.00	4.50	55.00
404.00	100.00	4.50	55.00
396.00	100.00	52.00	55.00
396.00	100.00	55.00	55.00
389.00	100.00	40.00	55.00
386.00	100.00	96.00	55.00
384.00	100.00	6.50	55.00
383.00	100.00	5.50	55.00
379.00	100.00	6.50	55.00
378.00	100.00	5.50	55.00
375.00	100.00	6.50	55.00
370.00	100.00	30.00	54.50
360.00	100.00	20.00	54.40
360.00	100.00	25.00	54.00
359.00	100.00	78.00	54.00
354.00	100.00	39.00	54.00
350.00	100.00	10.00	54.00
348.00	100.00	9.50	54.00
340.00	100.00	9.00	54.00
338.00	100.00	12.00	54.00
332.00	100.00	12.00	54.00
331.00	100.00	48.00	54.00
330.00	100.00	10.00	54.00
320.00	100.00	6.00	54.00
312.00	100.00	10.00	54.00
312.00	100.00	12.00	54.00
307.00	100.00	10.00	54.00
306.00	100.00	12.00	54.00
305.00	100.00	10.00	54.00
302.50	100.00	16.00	54.00
302.00	100.00	12.00	54.00
300.00	100.00	10.00	54.00
298.00	100.00	10.00	54.00
297.00	100.00	10.00	54.00
296.00	100.00	10.00	54.00
295.00	100.00	12.00	54.00
295.00	100.00	12.00	54.00
295.00	100.00	14.00	54.00
292.00	100.00	14.00	54.00
290.00	100.00	14.00	54.00
290.00	100.00	14.00	54.00
289.00	100.00	12.50	54.00
286.00	100.00	13.00	54.00
280.00	100.00	14.00	54.00
280.00	100.00	14.00	54.00
280.00	100.00	17.00	54.00
280.00	100.00	29.50	53.50
278.00	99.80	20.00	53.50
277.00	99.50	24.00	53.50
277.00	99.20	24.00	53.50
277.00	99.00	18.00	53.10
276.70	99.00	29.00	53.00
276.00	99.00	4.00	53.00
276.00	99.00	4.00	53.00
275.00	99.00	80.00	53.00
274.00	99.00	240.00	53.00
274.00	99.00	21.00	53.00
272.50	99.00	23.00	53.00
268.00	99.00	20.00	53.00
268.00	99.00	11.00	53.00
267.00	99.00	98.00	53.00
264.50	99.00	12.00	53.00
264.00	99.00	16.00	53.00
264.00	99.00	35.00	53.00
260.00	99.00	24.00	53.00
260.00	99.00	34.50	53.00
256.50	99.00	70.00	53.00
256.00	98.50	40.00	53.00
253.00	98.50	12.00	53.00
253.00	98.50	50.50	53.00
253.00	98.50	32.00	52.50
252.50	98.20	13.00	52.50
251.90	98.20	8.50	52.50
251.00	98.00	14.00	52.50
250.00	98.00	24.00	52.50
250.00	98.00	70.00	52.00
248.50	98.00	48.00	52.00
246.00	98.00	100.00	52.00
244.00	98.00	10.00	52.00
244.00	98.00	40.00	52.00
243.00	98.00	7.00	52.00
242.70	98.00	6.00	52.00
242.00	98.00	24.00	52.00
241.00	98.00	16.00	52.00
240.50	98.00	8.00	52.00
240.00	98.00	20.00	52.00
240.00	98.00	16.00	52.00
240.00	98.00	19.00	52.00
240.00	98.00	64.00	52.00
240.00	98.00	12.00	52.00
240.00	98.00	59.00	52.00
239.50	98.00	8.00	52.00
238.00	98.00	15.00	52.00
237.00	98.00	31.00	52.00
237.00	98.00	28.00	52.00
237.00	98.00	14.00	52.00
236.20	98.00	10.00	52.00
236.00	98.00	14.00	52.00
236.00	98.00	9.00	52.00
235.00	98.00	8.00	52.00
235.00	97.50	9.00	52.00
234.00	97.50	11.50	52.00
233.00	97.50	48.00	52.00
232.00	97.40	21.00	52.00
232.00	97.10	22.00	52.00
230.00	97.00	41.00	52.00
230.00	97.00	12.00	52.00
230.00	97.00	10.50	52.00
230.00	97.00	28.00	52.00
228.00	97.00	25.50	52.00
228.00	97.00	25.00	51.50
227.00	97.00	22.00	51.00
226.50	97.00	87.50	51.00
226.50	97.00	35.00	51.00
226.20	97.00	12.00	51.00
225.50	97.00	20.00	51.00
225.00	97.00	20.00	51.00
225.00	97.00	50.00	51.00
225.00	97.00	16.00	51.00
225.00	97.00	39.00	51.00
225.00	96.60	20.00	51.00
225.00	96.10	14.00	51.00
224.00	96.00	24.00	51.00
223.00	96.00	16.00	51.00
220.50	96.00	13.00	51.00
220.00	96.00	40.00	51.00
220.00	96.00	30.00	51.00
218.00	96.00	10.00	51.00
218.00	96.00	19.00	51.00
218.00	96.00	64.00	50.60
218.00	96.00	32.00	50.50
217.00	96.00	14.00	50.50
217.00	96.00	20.00	50.50
216.00	96.00	26.00	50.50
216.00	96.00	5.00	50.50
215.00	96.00	5.00	50.50
215.00	96.00	13.00	50.30
215.00	96.00	16.00	50.00
215.00	96.00	50.00	50.00
214.50	96.00	16.00	50.00
214.00	96.00	24.00	50.00
214.00	96.00	10.00	50.00
214.00	96.00	32.00	50.00
213.00	96.00	40.00	50.00
212.00	96.00	20.00	50.00
212.00	96.00	27.00	50.00
211.00	96.00	11.00	50.00
210.00	96.00	5.00	50.00
210.00	96.00	2.00	50.00
210.00	96.00	5.00	50.00
210.00	96.00	30.00	50.00
