Etiology	Year	Outbreaks	Illnesses	Hospitalizations	Deaths
Escherichia	1998	32	1615	99	0
Escherichia	1999	31	1046	106	0
Escherichia	2000	35	1450	137	2
Escherichia	2001	24	538	64	0
Escherichia	2002	33	597	100	2
Escherichia	2003	27	337	76	3
Escherichia	2004	22	794	67	1
Escherichia	2005	21	357	65	3
Escherichia	2006	24	568	245	6
Escherichia	2007	39	722	118	2
Escherichia	2008	35	950	214	3
Escherichia	2009	36	486	109	3
Escherichia	2010	34	364	92	1
Escherichia	2011	30	661	96	2
Escherichia	2012	30	539	95	3
Escherichia	2013	32	473	144	2
Escherichia	2014	29	284	76	2
Escherichia	2015	40	469	102	0
Listeria	1998	2	105	101	21
Listeria	1999	5	28	7	2
Listeria	2000	2	41	29	7
Listeria	2001	2	84	1	0
Listeria	2002	1	54	0	8
Listeria	2003	2	15	12	1
Listeria	2004	0	0	0	0
Listeria	2005	4	34	34	1
Listeria	2006	4	10	3	2
Listeria	2007	1	5	5	3
Listeria	2008	3	33	29	3
Listeria	2009	3	32	15	0
Listeria	2010	6	66	61	13
Listeria	2011	5	168	150	35
Listeria	2012	4	36	34	5
Listeria	2013	5	29	25	5
Listeria	2014	10	57	53	14
Listeria	2015	2	21	19	1
Salmonella	1998	149	2852	293	7
Salmonella	1999	138	3815	242	2
Salmonella	2000	150	3091	295	3
Salmonella	2001	135	3962	264	7
Salmonella	2002	137	5006	386	3
Salmonella	2003	137	4175	331	7
Salmonella	2004	142	3394	382	9
Salmonella	2005	108	2980	301	2
Salmonella	2006	113	3299	500	0
Salmonella	2007	146	3564	498	5
Salmonella	2008	117	5063	774	13
Salmonella	2009	119	3099	307	4
Salmonella	2010	132	4461	330	1
Salmonella	2011	118	3198	482	5
Salmonella	2012	118	3456	532	5
Salmonella	2013	161	3642	632	4
Salmonella	2014	154	2597	401	1
Salmonella	2015	163	4070	571	8
