LC1	LC2	LC3	LC4	LC5
03003	0.00	15.00	0.00	0.00	0.00
03037D	960.80	14.00	128.50	134.50	0.00
03803	0.00	0.00	0.00	20.00	0.00
03803A	197.80	275.80	363.70	24.00	7.00
03803B	27.00	91.00	607.20	48.60	0.00
03803D	2197.80	390.40	1747.90	3032.10	0.00
03819A	11.00	0.00	0.00	0.00	0.00
03819C	52.20	0.00	7.50	21.00	0.00
03842B	22.50	0.00	2.50	0.00	0.00
03842C	434.50	24.00	261.00	20.00	2.00
03842D	112.70	30.00	328.50	348.50	55.00
03842H	8.50	0.00	19.50	32.00	0.00
03844B	18.50	9.00	0.00	0.00	0.00
03844C	72.40	0.00	140.00	0.00	0.00
03844D	85.60	12.30	33.00	53.50	0.00
03847	0.00	0.00	0.00	0.00	0.00
03847H	68.50	0.00	0.00	0.00	0.00
03C001	928.80	0.00	980.00	571.70	0.00
03F100	638.00	0.00	36.50	119.80	0.00
03F110	4641.50	174.20	317.10	189.90	3.00
03F800	78.80	29.50	89.50	108.10	0.00
03F836	785.10	0.00	0.00	10.20	0.00
03F846	44.00	0.00	0.00	18.80	0.00
03F847	62.00	0.00	196.00	61.50	0.00
03F860	14639.40	498.30	808.60	776.80	3.00
03L860	1109.00	4.00	46.80	12.00	0.00
03R175	383.00	0.00	0.00	0.00	0.00
03R263	78.90	0.00	28.50	138.50	0.00
03R265	18.00	0.00	0.00	0.00	0.00
03R266	0.00	0.00	34.00	25.00	0.00
03R267	363.00	0.00	0.00	0.00	0.00
03R282	106.00	21.00	0.00	0.00	0.00
03R800	53.50	12.00	10.00	124.80	0.00
03R801	824.00	106.80	349.20	701.20	0.50
03R803	0.00	0.00	0.00	0.20	0.00
03R831	0.00	0.00	0.00	231.90	4.20
03R839	90.10	0.00	0.00	0.00	0.00
03R858	0.00	0.00	57.00	415.80	0.00
04004A	4849.60	64.80	178.90	0.00	2.00
04004D	6847.50	23.50	0.00	8455.50	0.10
04004U	0.00	0.00	19.00	0.00	0.00
04018	2104.30	0.00	16.30	11.10	0.00
