LC1	LC2	LC3	LC4	LC5
03003	0	5	0	0	0
03037D	13.92463768	7	16.0625	14.94444444	0
03803	0	0	0	4	0
03803A	6.593333333	16.22352941	45.4625	4.8	7
03803B	5.4	15.16666667	14.45714286	24.3	0
03803D	10.989	20.54736842	20.80833333	11.39887218	0
03819A	5.5	0	0	0	0
03819C	7.457142857	0	7.5	4.2	0
03842B	5.625	0	2.5	0	0
03842C	16.71153846	24	20.07692308	20	1
03842D	10.24545455	15	32.85	20.5	18.33333333
03842H	8.5	0	9.75	8	0
03844B	3.7	3	0	0	0
03844C	8.044444444	0	46.66666667	0	0
03844D	8.56	12.3	33	3.821428571	0
03847	0	0	0	0	0
03847H	11.41666667	0	0	0	0
03C001	22.11428571	0	81.66666667	19.7137931	0
03F100	9.96875	0	18.25	7.4875	0
03F110	12.44369973	19.35555556	24.39230769	7.596	1
03F800	11.25714286	14.75	17.9	9.827272727	0
03F836	12.46190476	0	0	5.1	0
03F846	44	0	0	4.7	0
03F847	15.5	0	24.5	15.375	0
03F860	9.72717608	17.79642857	28.87857143	9.590123457	0.333333333
03L860	8.732283465	2	23.4	3	0
03R175	191.5	0	0	0	0
03R263	8.766666667	0	14.25	6.02173913	0
03R265	9	0	0	0	0
03R266	0	0	34	12.5	0
03R267	24.2	0	0	0	0
03R282	35.33333333	21	0	0	0
03R800	10.7	12	5	24.96	0
03R801	11.13513514	17.8	34.92	25.04285714	0.0625
03R803	0	0	0	0.2	0
03R831	0	0	0	77.3	4.2
03R839	15.01666667	0	0	0	0
03R858	0	0	57	11.23783784	0
04004A	5.692018779	7.2	11.92666667	0	0.666666667
04004D	26.64396887	23.5	0	23.95325779	0.016666667
04004U	0	0	19	0	0
04018	18.78839286	0	16.3	11.1	0
04019A	10.22956685	12	10.31818182	5.994117647	0.5
04019C	9.707142857	0	0	3.234065934	0
04019S	21.33333333	17.5	18.5	0	0
04019X	1	1	0	0	0
04803	4.6	0	0	0	0
04839	0	0	0	5.764217937	0
04F800	12.10340909	16.05	26.4	13.7	12.5
04R800	0	0	0	38.3	0
04R801	14.30769231	0	14	32.5	0
04R814	0	0	0	14.4375	0
04R831	15.75	0	0	74.67142857	3.25
04R854	17	12	0	0	0
07001	7.443597122	11.36363636	22.5	1	0
07847H	15	0	0	0	0
09006A	10.5	24	39.33333333	0	0
09006B	6.852941176	0	15.28125	0	0
09803E	0	0	9.55	0	0
09803F	7.75	0	0	0	0
09F828	0	10	0	0	0
09R800	0	0	24	0	0
09R801	6	0	0	0	0
18029A	6.547058824	8.15	0	0	0
18029C	6.766666667	0	0	0	0
18029D	5.775	0	0	0	0
18029E	7.5	0	0	0	0
21002	82.68125	28	0	0	0
21003	0	0	22	0	0
21005	7.394848485	2.6025	12.064	0	2.95
21006	99.4625	0	0	0.5	0
21008	11.64791667	25.6775	24.50655738	31.68125	2.642857143
21008A	13.05789474	10.7	3.82	0	0.2
21839	0	0	0	0.99197356	0
21842	14.4375	11.7	13.66666667	0	0
21C002	21.33333333	0	0	0	0
21R800	17	56	0	0	0
21R801	25	0	0	0	0
21R829	0	0	0	0	0.5
21R831	0	0	0	61.46	0
21R834	0	0	6	0	0
29001	11.67096774	21.25	21.25	0	0
29C001	10	0	0	0	0
29F800	20.021875	19.07142857	17	3.366666667	0
29R801	21.725	4.5	68.33333333	38.5	0
29R831	0	0	0	46.00512821	0
41002D	0	0	24	0	0
42R831	0	0	0	27.95	0
48001	14.3452381	0	0	0	0
48001A	18.18181818	0	0	0	0
48001D	12.22222222	0	0	0	0
52832C	0	0	0	0	0
52D001	0	0	0	66.6	0
56002	23.22727273	106.2222222	417.5	0	0
56002A	20	0	33.75	0	0
56002D	22.5	14	0	0	0
56002F	0	0	0	25.6	0
56002H	4	0	0	0	0
56008A	57.61917808	95.25	33.65555556	47.92926829	0.114285714
56008H	8.215789474	0	22	0.2	0
56008K	0	0	0	0.1	0
56008L	52.10511945	28.33333333	68.42727273	0	0.916666667
56021A	0	0	48.2	52.85	0
56D015	24.24137931	98.43333333	86.24545455	25.82941176	3
56D017	14.80555556	46	63.9	0	0
56R801	57.55555556	29	43	76.94444444	0
56R803	0	0	5	0	0
56R831	0	0	0	49.82857143	4.9
56R838	0	0	0	17.5	0
63001A	12.23148148	37.9	10.84933333	40.8625	0
63D012	0	0	8	0	0
63R800	6.333333333	0	15	0	0
63R801	0	60	0	9.35	0
63R831	0	0	0	21.29930556	0
68001	0	0	0	53.9	0
68R831	0	0	0	190.5	0
68V800	23	0	0	0	0
71002	6	0	0	0	0
71003A	6.626960784	8.290909091	12.46	0	0
71003B	10.68493151	13.33333333	0	0	0
71003C	7.59248366	0	26	0	0
71003E	11.10985915	40	15.88461538	9.74375	0.225
71003G	24.27906977	38.5	0	0	0
71003K	21.18181818	16.3	20.385	0	0
71003U	13.672	16.5	22.9	7.8	0
71004	19.5	72	6	0	0
71009	5.404	8.525925926	0	0	1
71R071	0	0	0	163.75	0
71R800	15.36666667	0	0	0	0
71R801	12.20454545	39	40.6875	35.02142857	0
71R831	0	0	0	57.73333333	0
71R839	16.21428571	0	0	41.2	0
71R853	0	0	30	0	0
71R854	9	0	0	0	0
71V800	13	67	0	69.23333333	0
81R801	2	0	0	0	0
82008	20.96410256	33.5	22.45454545	8	0
82013	0	0	0	0	0.1
82845A	0	60.5	0	0	0
82845C	61	0	46.5	0	0
82845G	20	0	0	0	0
82845S	27	27	0.5	0	0
82R800	0	0	0	18.375	0
82R801	0	47	0	5.2	0
82R820	20	0	0	0	0
82R831	0	0	0	49.91538462	0
84R800	0	0	0	20	0
86001	6	0	0	0	0
86006A	10.08888889	9.333333333	43.125	21	0
86006D	0	0	246.6666667	0	0
86006E	8.666666667	52	30.19230769	0	0
86R801	0	0	0	9	0
88D194	0	0	0	17.47058824	0
88D196	0	0	0	31.83333333	0
88D198	0	0	0	10	0
88D199	0	0	0	11.125	0
88D200	0	0	0	12.91818182	0
88D201	0	0	0	7	0
88D202	0	0	0	16.10714286	0
88D203	0	0	0	11.33333333	0
88D211	0	0	0	7.8	0
88D212	0	0	0	7	0
88D213	0	0	0	12	0
88D214	0	0	0	12	0
88D215	0	0	0	10	0
88D216	0	0	0	9.5	0
88D217	0	0	0	10.98571429	0
88D218	0	0	0	18.46875	0
88D219	0	0	0	10.56470588	0
88D220	0	0	0	17.49090909	0
88D221	0	0	0	7.285714286	0
88D222	0	0	0	7.473684211	0
88D223	0	0	0	9.80952381	0
88D224	0	0	0	10	0
88D225	0	0	0	24	0
88D226	0	0	0	11	0
88D227	0	0	0	10	0
88D228	0	0	0	9.545454545	0
88D229	0	0	0	18.1	0
88D230	0	0	0	7.923076923	0
88D231	0	0	0	7.289655172	0
88D232	0	0	0	17.5	0
