LC1	LC2	LC3	LC4	LC5    LCX	
03003	4277.00	1589.40	593.10	0.00	0.00	0.00
03003A	1621.50	856.50	393.70	0.00	3.00	0.00
03037B	69.70	0.00	0.00	0.00	0.00	0.00
03037D	1752.60	37.80	451.30	38.50	0.00	0.00
03803D	0.00	0.00	0.00	2.50	0.00	0.00
03819	0.00	1.50	0.00	0.00	0.00	0.00
03819A	9774.70	1394.10	1382.70	5.00	4.50	0.00
03819B	105.00	0.00	72.10	0.00	0.00	0.00
03819C	22520.90	141.10	1215.20	2119.50	4.40	0.00
03844	8943.70	0.00	896.20	1351.20	3.20	0.00
03844B	1230.00	257.80	138.70	0.00	0.00	0.00
03844C	8117.00	167.50	1219.10	4.50	12.00	0.00
03844D	2241.60	9.00	228.10	294.20	25.50	0.00
03844H	503.00	0.00	24.10	0.00	0.00	0.00
03C001	548.90	0.00	39.00	43.00	5.00	0.00
03F098	151.00	0.00	18.00	91.20	0.00	0.00
03F800	0.00	0.00	0.00	20.00	0.00	0.00
03F860	4061.50	205.40	216.40	93.00	0.00	0.00
03R282	7.00	0.00	0.00	0.00	0.00	0.00
03R800	688.70	208.10	261.80	74.50	16.00	0.00
03R833	57.30	10.00	24.00	0.00	0.00	0.00
03R839	382.30	0.00	49.00	0.00	0.00	0.00
03R859	5.00	0.00	0.00	0.00	0.00	0.00
04004A	19223.50	444.80	4259.90	0.00	10.50	0.00
04018	18396.80	92.40	2858.10	0.00	0.00	0.00
04019A	11352.50	1039.00	105.80	0.00	16.00	0.00
04019B	712.60	0.00	30.50	0.00	2.50	0.00
04019C	859.00	0.00	0.00	4.50	0.00	0.00
04019S	96.00	262.00	5.10	0.00	0.00	0.00
04019X	27.00	0.00	12.50	0.00	0.00	0.00
04F800	1141.00	531.20	0.00	62.30	0.00	0.00
04R800	145.00	23.50	42.80	0.00	0.20	0.00
04R854	254.70	0.00	7.90	0.00	4.60	0.00
04R859	6.00	0.00	0.00	0.00	0.00	0.00
07001	6230.20	482.10	487.50	0.00	0.00	0.00
07R800	34.00	69.00	23.00	0.00	0.00	0.00
09006A	2303.60	337.90	695.60	0.00	8.00	0.00
09006B	4198.60	164.80	3298.70	0.00	3.00	0.00
09844E	38.50	0.00	100.00	0.00	0.00	0.00
09844F	156.80	0.00	0.00	38.50	0.00	0.00
09R800	103.70	0.00	57.50	0.00	0.00	0.00
21002	123.50	0.00	0.00	0.00	0.50	0.00
21003	0.00	0.50	0.00	0.00	0.00	0.00
21004	387.60	52.00	1.40	0.00	0.00	0.00
21005	1723.90	76.90	1148.20	89.00	48.30	17.00
21006	524.40	0.00	0.00	0.00	0.00	0.00
21008	2107.20	18.50	604.60	92.10	89.60	0.00
21008X	186.00	41.00	1729.50	0.00	0.00	0.00
21844	58.50	0.00	3.00	0.00	0.50	0.00
21R800	107.50	3.50	0.00	0.00	0.00	0.00
21R824	0.00	0.00	0.00	5.60	0.00	0.00
29001	5206.80	1317.40	1665.70	28.00	22.00	0.00
29R824	35.20	0.00	0.00	7.00	0.00	0.00
29R833	38.00	0.00	111.00	0.00	0.00	0.00
29R838	0.00	0.00	69.40	0.00	0.00	0.00
45R800	32.10	0.00	0.00	0.00	0.00	0.00
56008H	7745.80	633.50	550.50	121.10	1.20	0.00
56008L	4.00	0.00	0.00	0.00	0.00	0.00
56008X	18.00	0.00	186.60	0.00	0.00	0.00
56D015	12.00	0.00	0.00	0.00	0.00	0.00
56R800	298.00	39.00	188.00	0.00	0.00	0.00
56R833	43.00	3.50	26.00	0.00	0.00	0.00
63001A	1003.00	58.00	652.10	72.80	0.00	0.00
71001	19.00	0.00	0.00	0.00	0.00	0.00
71003A	830.90	48.60	78.30	0.00	0.00	0.00
71003B	93.80	24.10	0.00	0.00	0.00	0.00
71003C	612.50	54.00	67.50	0.00	0.00	0.00
71003E	3302.60	24.00	179.20	249.00	0.00	0.00
71003K	1148.10	0.00	0.00	0.00	0.00	0.00
71004	32.00	0.00	0.00	0.00	0.00	0.00
71009	5.00	0.00	0.00	0.00	0.00	0.00
71R800	4.00	51.00	0.00	0.00	0.00	0.00
71R833	0.00	56.00	18.00	0.00	0.00	0.00
71R844	674.80	70.30	0.00	0.00	1.00	0.00
71R853	152.50	0.00	0.00	0.00	0.00	0.00
71R854	26.00	0.00	0.00	0.00	0.00	0.00
71V017	251.60	0.00	36.30	48.10	0.00	0.00
81R800	4.10	0.00	0.00	0.00	0.00	0.00
82008	5827.40	990.60	2499.00	0.00	8.00	0.00
82R800	205.50	0.00	37.00	0.00	0.00	0.00
82R833	0.00	108.00	0.00	0.00	6.00	0.00
82Z002	121.30	0.00	5.10	0.00	0.00	0.00
82Z003	330.80	0.00	38.60	0.00	0.00	0.00
82Z800	10.00	0.00	0.00	0.00	0.00	0.00
83R800	0.00	24.00	0.00	0.00	0.10	0.00
84R800	13.50	0.00	0.00	0.00	0.00	0.00
86006E	12.00	0.00	0.00	0.00	0.00	0.00
86007	249.70	23.00	861.00	0.00	0.00	0.00
86R800	0.00	0.00	27.00	0.00	0.00	0.00
96T800	0.00	0.00	0.00	0.00	0.80	0.00
99R800	14.00	0.00	34.00	0.00	0.00	0.00
