LC1	LC2	LC3	LC4	LC5 LCX	
03003	8.873443983	8.192783505	10.78363636	0	0	0
03003A	5.709507042	5.353125	10.09487179	0	1	0
03037B	6.97	0	0	0	0	0
03037D	19.05	18.9	30.08666667	6.416666667	0	0
03803D	0	0	0	2.5	0	0
03819	0	0.75	0	0	0	0
03819A	6.644935418	14.99032258	11.61932773	5	0.9	0
03819B	5.526315789	0	8.011111111	0	0	0
03819C	7.78730982	10.07857143	15.38227848	6.81511254	0.488888889	0
03844	8.599711538	0	14.69180328	7.591011236	0.8	0
03844B	5.061728395	12.89	10.66923077	0	0	0
03844C	5.206542656	11.96428571	5.541363636	4.5	1.333333333	0
03844D	9.038709677	9	20.73636364	7.951351351	6.375	0
03844H	8.112903226	0	24.1	0	0	0
03C001	17.153125	0	19.5	10.75	5	0
03F098	9.4375	0	18	6.08	0	0
03F800	0	0	0	20	0	0
03F860	10.36096939	12.8375	16.64615385	8.454545455	0	0
03R282	7	0	0	0	0	0
03R800	11.29016393	13.87333333	17.45333333	6.208333333	16	0
03R833	9.55	10	24	0	0	0
03R839	10.92285714	0	49	0	0	0
03R859	5	0	0	0	0	0
04004A	4.615486194	4.58556701	9.616027088	0	0.65625	0
04018	17.3554717	23.1	24.6387931	0	0	0
04019A	10.81190476	11.6741573	21.16	0	5.333333333	0
04019B	10.7969697	0	10.16666667	0	1.25	0
04019C	5.052941176	0	0	4.5	0	0
04019S	32	26.2	5.1	0	0	0
04019X	9	0	6.25	0	0	0
04F800	17.828125	16.6	0	20.76666667	0	0
04R800	6.041666667	11.75	10.7	0	0.1	0
04R854	9.096428571	0	7.9	0	0.92	0
04R859	6	0	0	0	0	0
07001	7.416904762	7.5328125	30.46875	0	0	0
07R800	8.5	69	23	0	0	0
09006A	9.40244898	30.71818182	31.61818182	0	1.6	0
09006B	6.580877743	9.694117647	16.4935	0	0.428571429	0
09844E	6.416666667	0	33.33333333	0	0	0
09844F	7.127272727	0	0	38.5	0	0
09R800	20.74	0	28.75	0	0	0
21002	24.7	0	0	0	0.5	0
21003	0	0.5	0	0	0	0
21004	19.38	26	0.35	0	0	0
21005	9.26827957	1.165151515	6.27431694	17.8	1.857692308	17
21006	32.775	0	0	0	0	0
21008	12.11034483	2.055555556	10.79642857	46.05	5.6	0
21008X	10.33333333	20.5	10.87735849	0	0	0
21844	9.75	0	3	0	0.5	0
21R800	17.91666667	3.5	0	0	0	0
21R824	0	0	0	5.6	0	0
29001	13.77460317	25.83137255	38.7372093	14	2.75	0
29R824	35.2	0	0	7	0	0
29R833	19	0	55.5	0	0	0
29R838	0	0	69.4	0	0	0
45R800	32.1	0	0	0	0	0
56008H	20.54588859	52.79166667	28.97368421	30.275	0.3	0
56008L	4	0	0	0	0	0
56008X	18	0	20.73333333	0	0	0
56D015	12	0	0	0	0	0
56R800	14.19047619	7.8	26.85714286	0	0	0
56R833	8.6	3.5	13	0	0	0
63001A	12.5375	19.33333333	23.28928571	14.56	0	0
71001	19	0	0	0	0	0
71003A	4.565384615	4.418181818	9.7875	0	0	0
71003B	9.38	12.05	0	0	0	0
71003C	6.882022472	7.714285714	22.5	0	0	0
71003E	10.320625	24	19.91111111	7.114285714	0	0
71003K	19.45932203	0	0	0	0	0
71004	32	0	0	0	0	0
71009	5	0	0	0	0	0
71R800	4	12.75	0	0	0	0
71R833	0	28	18	0	0	0
71R844	5.3984	10.04285714	0	0	0.333333333	0
71R853	13.86363636	0	0	0	0	0
71R854	13	0	0	0	0	0
71V017	8.985714286	0	18.15	8.016666667	0	0
81R800	4.1	0	0	0	0	0
82008	16.46158192	36.68888889	35.1971831	0	2	0
82R800	15.80769231	0	37	0	0	0
82R833	0	21.6	0	0	6	0
82Z002	5.513636364	0	5.1	0	0	0
82Z003	6.125925926	0	6.433333333	0	0	0
82Z800	10	0	0	0	0	0
83R800	0	24	0	0	0.1	0
84R800	6.75	0	0	0	0	0
86006E	12	0	0	0	0	0
86007	8.05483871	7.666666667	14.35	0	0	0
86R800	0	0	27	0	0	0
96T800	0	0	0	0	0.2	0
99R800	7	0	34	0	0	0
