"10_100" "10_500" "10_1000" "10_1500" "10_2000" "5_100" "5_500" "5_1000" "5_1500" "5_2000" "1_100" "1_500" "1_1000" "1_1500" "1_2000"
"5" 0.5828 0.5787 0.5903 0.5926 0.5893 0.7736 0.7808 0.7744 0.7741 0.7706 0.771 0.9533 0.9536 0.951 0.9509
"10" 0.45875 0.4618 0.4693 0.4733 0.46865 0.6797 0.68595 0.68815 0.68235 0.68465 0.67995 0.9285 0.9308 0.9305 0.92615
"15" 0.366833333333333 0.3742 0.3782 0.380866666666667 0.3795 0.5964 0.612 0.612566666666667 0.608933333333333 0.611833333333333 0.595633333333333 0.9062 0.9074 0.905433333333333 0.904533333333333
"20" 0.298325 0.30945 0.312475 0.315475 0.314675 0.526875 0.548825 0.5479 0.54615 0.548875 0.5272 0.8822 0.88555 0.882725 0.881675
"25" 0.24826 0.26126 0.26368 0.26616 0.26572 0.46812 0.49332 0.49332 0.4917 0.49494 0.46748 0.85966 0.86416 0.86216 0.86096
"30" 0.2108 0.224433333333333 0.2264 0.228216666666667 0.228633333333333 0.416966666666667 0.445133333333333 0.4466 0.444066666666667 0.44815 0.417116666666667 0.83875 0.84335 0.841016666666667 0.840316666666667
"35" 0.1823 0.195385714285714 0.197428571428571 0.199185714285714 0.199514285714286 0.373385714285714 0.402771428571429 0.406271428571429 0.4031 0.407485714285714 0.3735 0.818628571428571 0.822657142857143 0.8219 0.820285714285714
"40" 0.1600125 0.1726 0.1746625 0.1760875 0.1765375 0.3357 0.3673375 0.370725 0.36805 0.3725125 0.3356625 0.79925 0.803 0.802725 0.80025
"45" 0.142355555555556 0.154133333333333 0.156022222222222 0.157377777777778 0.157644444444444 0.303855555555556 0.336388888888889 0.338911111111111 0.337255555555556 0.341533333333333 0.303311111111111 0.779555555555556 0.7837 0.783166666666667 0.781144444444444
"50" 0.1282 0.1392 0.14087 0.14212 0.1424 0.27637 0.30929 0.31214 0.31043 0.31472 0.27576 0.76081 0.76574 0.76453 0.76326
"55" 0.116554545454545 0.126772727272727 0.128372727272727 0.129436363636364 0.129727272727273 0.252745454545455 0.285727272727273 0.288745454545455 0.287209090909091 0.291245454545455 0.252081818181818 0.742763636363636 0.747472727272727 0.746845454545455 0.746318181818182
"60" 0.106841666666667 0.116291666666667 0.117783333333333 0.118783333333333 0.119066666666667 0.2324 0.265191666666667 0.268175 0.266583333333333 0.270958333333333 0.2317 0.724375 0.730516666666667 0.729691666666667 0.728941666666667
"65" 0.0986230769230769 0.107415384615385 0.108769230769231 0.109684615384615 0.109946153846154 0.214884615384615 0.246823076923077 0.249792307692308 0.248661538461538 0.252984615384615 0.214130769230769 0.707253846153846 0.713638461538462 0.713676923076923 0.712115384615385
"70" 0.0915785714285714 0.0997928571428571 0.101057142857143 0.101864285714286 0.102092857142857 0.199614285714286 0.230692857142857 0.233664285714286 0.232614285714286 0.236514285714286 0.199007142857143 0.690035714285714 0.696914285714286 0.697721428571429 0.696264285714286
"75" 0.0854733333333333 0.09314 0.09434 0.0950866666666667 0.09532 0.18636 0.21636 0.219466666666667 0.218286666666667 0.222 0.185766666666667 0.67302 0.68066 0.682073333333333 0.68078
"80" 0.08013125 0.08733125 0.08845 0.08915625 0.08936875 0.17471875 0.2035125 0.20665625 0.2054625 0.20911875 0.1741625 0.6565625 0.6644125 0.66685625 0.6656625
"85" 0.0754176470588235 0.0822 0.0832588235294118 0.0839176470588235 0.0841117647058824 0.164447058823529 0.192035294117647 0.195052941176471 0.193935294117647 0.197547058823529 0.163923529411765 0.640982352941176 0.649270588235294 0.652035294117647 0.651276470588235
"90" 0.0712277777777778 0.0776333333333333 0.0786388888888889 0.0792555555555556 0.0794444444444444 0.155311111111111 0.181683333333333 0.184638888888889 0.183555555555556 0.186916666666667 0.154816666666667 0.626455555555556 0.634844444444444 0.637377777777778 0.636622222222222
"95" 0.0674789473684211 0.0735473684210526 0.0745 0.0750894736842105 0.0752684210526316 0.147136842105263 0.172315789473684 0.175273684210526 0.174273684210526 0.177394736842105 0.146668421052632 0.611878947368421 0.620657894736842 0.623757894736842 0.62238947368421
"100" 0.064105 0.06987 0.070775 0.071335 0.071505 0.13978 0.16388 0.166695 0.16576 0.16871 0.139335 0.597435 0.606825 0.60991 0.608685
