PlanFY,OpDateFY,Plan_PAC,Plan_Hours,Sum_of_Hours,Acc_Org
2011,2011,03003,5.00,5.00,ATL-DO
2011,2011,03003,5.00,25.50,CIN-DO
2011,2011,03003,11.00,8.00,BLT-DO
2011,2011,03003,11.00,24.50,NOL-DO
2011,2011,03003,14.00,11.80,NOL-DO
2011,2011,03003,14.00,29.50,SJN-DO
2011,2011,03003,18.00,17.50,ATL-DO
2011,2011,03003,18.00,82.70,SJN-DO
2011,2011,03003,22.00,12.80,ATL-DO
2011,2011,03003,26.00,0.50,NWE-DO
2011,2011,03003,27.00,8.00,SAN-DO
2011,2011,03003,31.00,44.80,MIN-DO
2011,2011,03003,31.00,43.50,PHI-DO
2011,2011,03003,39.00,95.00,PHI-DO
2011,2011,03003,40.00,34.20,MIN-DO
2011,2011,03003,41.00,70.60,BLT-DO
2011,2011,03003,42.00,0.50,FLA-DO
2011,2011,03003,47.00,15.70,CHI-DO
2011,2011,03003,47.00,1.00,SEA-DO
2011,2011,03003,54.00,34.30,BLT-DO
2011,2011,03003,58.00,311.50,LOS-DO
2011,2011,03003,61.00,51.30,CHI-DO
2011,2011,03003,97.00,142.00,NWE-DO
2011,2011,03003,101.00,45.50,SAN-DO
2011,2011,03003,124.00,96.30,NWE-DO
2011,2011,03003,128.00,112.00,SAN-DO
2011,2011,03003,143.00,11.00,NYK-DO
2011,2011,03003,155.00,176.70,FLA-DO
2011,2011,03003,173.00,68.20,SEA-DO
2011,2011,03003,197.00,306.90,FLA-DO
2011,2011,03003,214.00,568.00,LOS-DO
2011,2011,03003,220.00,162.90,SEA-DO
2011,2011,03003,222.00,39.30,SWI-DO
2011,2011,03003,239.00,110.10,DET-DO
2011,2011,03003,272.00,641.30,LOS-DO
2011,2011,03003,304.00,74.10,DET-DO
2011,2011,03003,526.00,571.50,NYK-DO
2011,2011,03003,669.00,509.90,NYK-DO
2011,2011,03003,693.00,240.20,PRL-NW
2011,2011,03003,819.00,267.60,SWI-DO
2011,2011,03003,972.00,2779.60,SRL
2011,2011,03003,1042.00,147.60,SWI-DO
2011,2011,03003,2487.00,914.40,PRL-SW
2011,2011,03003,2619.00,3441.00,NRL
2011,2011,03003,2925.00,562.10,ARL
2011,2011,03037,4.00,26.00,CHI-DO
2011,2011,03037,11.00,1.50,DET-DO
2011,2011,03037,16.00,55.50,DEN-DO
2011,2011,03037,16.00,99.00,NWJ-DO
2011,2011,03037,16.00,40.00,SJN-DO
2011,2011,03037,18.00,17.40,BLT-DO
2011,2011,03037,18.00,136.00,CHI-DO
2011,2011,03037,22.00,10.50,PHI-DO
2011,2011,03037,26.00,46.00,NOL-DO
2011,2011,03037,32.00,47.00,NWE-DO
2011,2011,03037,34.00,3.50,KAN-DO
2011,2011,03037,34.00,22.50,SAN-DO
2011,2011,03037,36.00,16.30,CHI-DO
