PAC,PAF,OPCODE,ACCORG,ACC2011,PLAN2011,ACC2012,PLAN2012,ACC2013,PLAN2013,ACC2014,PLAN2014,ACC2015,PLAN2015
3003,ACD,43,ARL,562.1,2925,,,,,,,,
3003,ACD,43,NRL,3401.5,2619,,,,,,,,
3003,ACD,43,PRL-NW,187.4,693,,,,,,,,
3003,ACD,43,PRL-SW,909.9,2487,,,,,,,,
3003,ACD,43,SRL,2779.6,972,,,,,,,,
3003,NAR,43,NRL,36,2619,,,,,,,,
3003,NAR,43,PRL-NW,52.8,693,,,,,,,,
3003,NAR,43,PRL-SW,4.5,2487,,,,,,,,
3003,PES,43,NRL,3.5,2619,,,,,,,,
3003,,14,ATL-DO,5,5,,,,,,,,
3003,,14,BLT-DO,8,11,,,,,,,,
3003,,14,FLA-DO,0.5,42,,,,,,,,
3003,,14,LOS-DO,311.5,58,,,,,,,,
3003,,14,NWE-DO,0.5,26,,,,,,,,
3003,,14,NYK-DO,11,143,,,,,,,,
3003,,14,SAN-DO,8,27,,,,,,,,
3003,,14,SEA-DO,1,47,,,,,,,,
3003,,14,SWI-DO,39.3,222,,,,,,,,
3003,,21,ATL-DO,12.8,22,,,,,,,,
3003,,21,BLT-DO,34.3,54,,,,,,,,
3003,,21,CHI-DO,51.3,61,,,,,,,,
3003,,21,CIN-DO,25.5,5,,,,,,,,
3003,,21,DET-DO,74.1,304,,,,,,,,
3003,,21,FLA-DO,306.9,197,,,,,,,,
3003,,21,LOS-DO,641.3,272,,,,,,,,
3003,,21,MIN-DO,34.2,40,,,,,,,,
3003,,21,NOL-DO,11.8,14,,,,,,,,
3003,,21,NWE-DO,96.3,124,,,,,,,,
3003,,21,NYK-DO,509.9,669,,,,,,,,
3003,,21,PHI-DO,95,39,,,,,,,,
3003,,21,SAN-DO,112,128,,,,,,,,
3003,,21,SEA-DO,162.9,220,,,,,,,,
3003,,21,SJN-DO,82.7,18,,,,,,,,
3003,,21,SWI-DO,147.6,1042,,,,,,,,
3003,,33,ATL-DO,17.5,18,,,,,,,,
3003,,33,BLT-DO,70.6,41,,,,,,,,
3003,,33,CHI-DO,15.7,47,,,,,,,,
3003,,33,DET-DO,110.1,239,,,,,,,,
3003,,33,FLA-DO,176.7,155,,,,,,,,
3003,,33,LOS-DO,568,214,,,,,,,,
3003,,33,MIN-DO,44.8,31,,,,,,,,
3003,,33,NOL-DO,24.5,11,,,,,,,,
3003,,33,NWE-DO,142,97,,,,,,,,
3003,,33,NYK-DO,571.5,526,,,,,,,,
3003,,33,PHI-DO,43.5,31,,,,,,,,
3003,,33,SAN-DO,45.5,101,,,,,,,,
3003,,33,SEA-DO,68.2,173,,,,,,,,
3003,,33,SJN-DO,29.5,14,,,,,,,,
3003,,33,SWI-DO,267.6,819,,,,,,,,
3037,MIC,41,SRL,47,1494,,,,,,,,
3037,,12,ATL-DO,92.5,126,,,,,,,,
3037,,12,BLT-DO,450,216,,,,,,,,
3037,,12,CHI-DO,136,18,,,,,,,,
3037,,12,CIN-DO,246,126,,,,,,,,
3037,,12,DAL-DO,387.9,738,,,,,,,,
3037,,12,DEN-DO,5.5,54,,,,,,,,
3037,,12,DET-DO,24,54,,,,,,,,
3037,,12,FLA-DO,332,108,,,,,,,,
3037,,12,KAN-DO,207.9,162,,,,,,,,
3037,,12,LOS-DO,287.5,594,,,,,,,,
3037,,12,MIN-DO,2845.8,216,,,,,,,,
3037,,12,NOL-DO,61,126,,,,,,,,
3037,,12,NWE-DO,844.5,126,,,,,,,,
3037,,12,NWJ-DO,564,54,,,,,,,,
3037,,12,NYK-DO,913.5,324,,,,,,,,
3037,,12,PHI-DO,265,108,,,,,,,,
3037,,12,SAN-DO,574.5,162,,,,,,,,
3037,,12,SEA-DO,411,306,,,,,,,,
3037,,12,SJN-DO,41,54,,,,,,,,
3037,,13,BLT-DO,47,45,,,,,,,,
3037,,13,CHI-DO,1,4,,,,,,,,
3037,,13,DAL-DO,4,153,,,,,,,,
3037,,13,DET-DO,1.5,11,,,,,,,,
3037,,13,KAN-DO,3.5,34,,,,,,,,
3037,,13,LOS-DO,8,123,,,,,,,,
3037,,13,MIN-DO,110.9,45,,,,,,,,
3037,,13,NOL-DO,46,26,,,,,,,,
3037,,13,NYK-DO,63.5,67,,,,,,,,
3037,,13,PHI-DO,10.5,22,,,,,,,,
3037,,13,SAN-DO,22.5,34,,,,,,,,
3037,,13,SEA-DO,4.5,63,,,,,,,,
3037,,31,ATL-DO,14,40,,,,,,,,
3037,,31,BLT-DO,127.8,68,,,,,,,,
3037,,31,CHI-DO,25,4,,,,,,,,
3037,,31,CIN-DO,15,40,,,,,,,,
3037,,31,DAL-DO,33,232,,,,,,,,
3037,,31,DEN-DO,55.5,16,,,,,,,,
3037,,31,FLA-DO,74,36,,,,,,,,
3037,,31,KAN-DO,43,52,,,,,,,,
3037,,31,LOS-DO,307,188,,,,,,,,
3037,,31,MIN-DO,184.5,68,,,,,,,,
3037,,31,NWE-DO,73,40,,,,,,,,
3037,,31,NWJ-DO,99,16,,,,,,,,
3037,,31,NYK-DO,132.5,104,,,,,,,,
3037,,31,PHI-DO,30,36,,,,,,,,
3037,,31,SAN-DO,176.5,52,,,,,,,,
3037,,31,SEA-DO,135.3,96,,,,,,,,
3037,,31,SJN-DO,40,16,,,,,,,,
3037,,33,BLT-DO,17.4,18,,,,,,,,
3037,,33,CHI-DO,16.3,36,,,,,,,,
3037,,33,LOS-DO,177.2,54,,,,,,,,
3037,,33,NWE-DO,47,32,,,,,,,,
3037,,33,NYK-DO,480.5,750,,,,,,,,
3037,,33,SAN-DO,22.5,54,,,,,,,,
3037,,33,SWI-DO,233.1,180,,,,,,,,
3803,,11,KAN-DO,47,461,,,,,,,,
3803,,11,SEA-DO,5,461,,,,,,,,
3803,,12,ATL-DO,9374.7,3438,,,,,,,,
3803,,12,BLT-DO,7251.9,3006,,,,,,,,
3803,,12,CHI-DO,8546.5,1188,,,,,,,,
3803,,12,CIN-DO,6126.2,3744,,,,,,,,
3803,,12,DAL-DO,11224.1,10224,,,,,,,,
3803,,12,DEN-DO,7739.3,4050,,,,,,,,
3803,,12,DET-DO,9144,3024,,,,,,,,
3803,,12,FLA-DO,6364.1,2196,,,,,,,,
3803,,12,KAN-DO,6206.5,2988,,,,,,,,
3803,,12,LOS-DO,13275.2,12240,,,,,,,,
3803,,12,MIN-DO,12241.3,2592,,,,,,,,
3803,,12,NOL-DO,6002.5,3132,,,,,,,,
3803,,12,NWE-DO,10218.5,4032,,,,,,,,
3803,,12,NWJ-DO,6080.3,1800,,,,,,,,
3803,,12,NYK-DO,8622.9,5760,,,,,,,,
3803,,12,PHI-DO,5479.7,1512,,,,,,,,
3803,,12,SAN-DO,15722,6048,,,,,,,,
3803,,12,SEA-DO,18999.3,6876,,,,,,,,
3803,,12,SJN-DO,3262.3,1044,,,,,,,,
3803,,13,ATL-DO,1519.2,390,,,,,,,,
3803,,13,BLT-DO,1026.3,341,,,,,,,,
3803,,13,CHI-DO,445,134,,,,,,,,
3803,,13,CIN-DO,198.3,425,,,,,,,,
3803,,13,DAL-DO,941.7,1160,,,,,,,,
3803,,13,DEN-DO,218,460,,,,,,,,
3803,,13,DET-DO,411,343,,,,,,,,
3803,,13,FLA-DO,259.5,250,,,,,,,,
3803,,13,KAN-DO,162,339,,,,,,,,
3803,,13,LOS-DO,949.2,1387,,,,,,,,
3803,,13,MIN-DO,575.2,294,,,,,,,,
3803,,13,NOL-DO,431.5,355,,,,,,,,
3803,,13,NWE-DO,1591,458,,,,,,,,
3803,,13,NWJ-DO,310,204,,,,,,,,
3803,,13,NYK-DO,332,653,,,,,,,,
3803,,13,ORAHQ,2,2850,,,,,,,,
3803,,13,PHI-DO,287,171,,,,,,,,
3803,,13,SAN-DO,1362,686,,,,,,,,
3803,,13,SEA-DO,2315.5,779,,,,,,,,
3803,,13,SJN-DO,319.5,119,,,,,,,,
3803,,31,ATL-DO,65,168,,,,,,,,
3803,,31,BLT-DO,66.1,144,,,,,,,,
3803,,31,CHI-DO,290,60,,,,,,,,
3803,,31,CIN-DO,55.5,180,,,,,,,,
3803,,31,DAL-DO,17,492,,,,,,,,
3803,,31,DEN-DO,142.5,198,,,,,,,,
3803,,31,DET-DO,113.3,144,,,,,,,,
3803,,31,FLA-DO,37,108,,,,,,,,
3803,,31,KAN-DO,191.5,150,,,,,,,,
3803,,31,LOS-DO,113,588,,,,,,,,
3803,,31,MIN-DO,468.2,126,,,,,,,,
3803,,31,NOL-DO,251,150,,,,,,,,
3803,,31,NWE-DO,451.5,186,,,,,,,,
3803,,31,NWJ-DO,162,84,,,,,,,,
3803,,31,NYK-DO,74.5,276,,,,,,,,
3803,,31,PHI-DO,107,72,,,,,,,,
3803,,31,SAN-DO,784.5,294,,,,,,,,
3803,,31,SEA-DO,427.6,330,,,,,,,,
3803,,31,SJN-DO,399.5,48,,,,,,,,
03803A,ACD,41,ARL,421.5,476,,,,,,,,
03803A,ACD,41,NRL,205.7,504,,,,,,,,
03803A,ACD,41,PRL-NW,3.5,378,,,,,,,,
03803A,ACD,41,PRL-SW,864.4,336,,,,,,,,
03803A,ACD,41,SRL,474,644,,,,,,,,
03803A,FIL,41,SRL,18,644,,,,,,,,
03803A,NAR,41,ARL,38.7,476,,,,,,,,
03803A,NAR,41,PRL-NW,455.6,378,,,,,,,,
03803A,,12,ATL-DO,926,1400,,,,,,,,
03803A,,12,BLT-DO,1749,1715,,,,,,,,
03803A,,12,CHI-DO,852.5,735,,,,,,,,
03803A,,12,DAL-DO,1106.1,1820,,,,,,,,
03803A,,12,DEN-DO,1030.5,665,,,,,,,,
03803A,,12,DET-DO,892.5,945,,,,,,,,
03803A,,12,FLA-DO,265,210,,,,,,,,
03803A,,12,KAN-DO,953,770,,,,,,,,
03803A,,12,LOS-DO,1083.5,2170,,,,,,,,
03803A,,12,MIN-DO,2700.1,1505,,,,,,,,
03803A,,12,NOL-DO,1360.2,700,,,,,,,,
03803A,,12,NWE-DO,1036,665,,,,,,,,
03803A,,12,NWJ-DO,428,420,,,,,,,,
03803A,,12,NYK-DO,1009.2,1400,,,,,,,,
03803A,,12,PHI-DO,882.5,805,,,,,,,,
03803A,,12,SAN-DO,928.5,595,,,,,,,,
03803A,,12,SEA-DO,1002,2415,,,,,,,,
03803A,,12,SJN-DO,100,140,,,,,,,,
03803A,,31,ATL-DO,21,90,,,,,,,,
03803A,,31,BLT-DO,46,114,,,,,,,,
03803A,,31,CHI-DO,201,48,,,,,,,,
03803A,,31,DAL-DO,125.5,120,,,,,,,,
03803A,,31,DEN-DO,173,42,,,,,,,,
03803A,,31,DET-DO,29,60,,,,,,,,
03803A,,31,FLA-DO,6,12,,,,,,,,
03803A,,31,KAN-DO,63,48,,,,,,,,
03803A,,31,LOS-DO,128.6,144,,,,,,,,
03803A,,31,MIN-DO,255.8,102,,,,,,,,
03803A,,31,NOL-DO,94,48,,,,,,,,
03803A,,31,NWE-DO,121,42,,,,,,,,
03803A,,31,NWJ-DO,9,30,,,,,,,,
03803A,,31,NYK-DO,35.5,90,,,,,,,,
03803A,,31,PHI-DO,98,54,,,,,,,,
03803A,,31,SAN-DO,227.5,42,,,,,,,,
03803A,,31,SEA-DO,155.5,162,,,,,,,,
03803A,,31,SJN-DO,31,12,,,,,,,,
03803A,,53,BLT-DO,21.8,136,,,,,,,,
03803A,,53,DAL-DO,1,146,,,,,,,,
03803A,,53,DEN-DO,1.4,53,,,,,,,,
03803A,,53,DET-DO,7.4,74,,,,,,,,
03803A,,53,FLA-DO,8,16,,,,,,,,
03803A,,53,LOS-DO,4,172,,,,,,,,
03803A,,53,NYK-DO,0.5,112,,,,,,,,
03803A,,53,PHI-DO,1.5,65,,,,,,,,
03803A,,53,SAN-DO,8,47,,,,,,,,
03803A,,83,CHI-DO,40,40,,,,,,,,
03803A,,83,DEN-DO,12,40,,,,,,,,
03803A,,83,DET-DO,1.5,40,,,,,,,,
03803A,,83,KAN-DO,52,40,,,,,,,,
03803A,,83,MIN-DO,275,40,,,,,,,,
03803A,,83,NWE-DO,48,40,,,,,,,,
03803A,,83,SAN-DO,54,40,,,,,,,,
03803A,,83,SEA-DO,78,40,,,,,,,,
03803A,,83,SJN-DO,40,40,,,,,,,,
3819,,14,LOS-DO,3,6971,,,,,,,,
3819,,92,PRL-SW,42,1180,,,,,,,,
3842,,11,ORAHQ,42,3775,,,,,,,,
3842,,12,ATL-DO,687.5,2662,,,,,,,,
3842,,12,BLT-DO,922.5,1690,,,,,,,,
3842,,12,CHI-DO,589,282,,,,,,,,
3842,,12,CIN-DO,275,742,,,,,,,,
3842,,12,DAL-DO,909.7,2534,,,,,,,,
3842,,12,DEN-DO,291.5,538,,,,,,,,
3842,,12,DET-DO,401,538,,,,,,,,
3842,,12,FLA-DO,1899,3123,,,,,,,,
