Center	Date_FYQ	quarter	Hours
CDRH	2011_1	1	11414.90
CDRH	2011_2	2	10307.40
CDRH	2011_3	3	12747.80
CDRH	2011_4	4	12160.50
CDRH	2012_1	5	13255.90
CDRH	2012_2	6	14688.70
CDRH	2012_3	7	15024.00
CDRH	2012_4	8	14551.10
CDRH	2013_1	9	13169.00
CDRH	2013_2	10	13456.70
CDRH	2013_3	11	13602.20
CDRH	2013_4	12	14878.60
CDRH	2014_1	13	15448.00
CDRH	2014_2	14	13680.40
CDRH	2014_3	15	13304.00
CDRH	2014_4	16	14145.70
CDRH	2015_1	17	14130.30
CDRH	2015_2	18	13504.30
CDRH	2015_3	19	14187.30
CDRH	2015_4	20	12919.20
CDRH	2016_1	21	13427.10
CDRH	2016_2	22	13400.30
CDRH	2016_3	23	14743.40
CDRH	2016_4	24	13320.90
CDRH	2017_1	25	15642.20
CDRH	2017_2	26	13878.90

