"","Operation Date","Sum of Hours","Hours Spent","PAC","Operation Code","Work Accomplishment ID","Emp Person ID","Count of Operations","Plan PAC","Plan Hours","Total Hours Spent","Operation Date FY"
"0","","4346.2","","","","","","638","","","",""
"1","2014/10/08 00:00:00","20","","","","7581786","","","","","",""
"1","2014/10/09 00:00:00","10","","","","7581806","","","","","",""
"1","2014/10/16 00:00:00","4","","","","7467984","","","","","",""
"1","2014/10/16 00:00:00","10","","","","7581807","","","","","",""
"1","2014/10/16 00:00:00","30","","","","7581791","","","","","",""
"1","2014/10/22 00:00:00","8","","","","7517644","","","","","",""
"1","2014/10/23 00:00:00","2","","","","7640914","","","","","",""
"1","2014/10/23 00:00:00","10","","","","7581810","","","","","",""
"1","2014/10/23 00:00:00","20","","","","7581795","","","","","",""
"1","2014/10/28 00:00:00","2","","","","7511946","","","","","",""
"1","2014/10/29 00:00:00","1","","","","7593025","","","","","",""
"1","2014/10/30 00:00:00","0.5","","","","7569362","","","","","",""
"1","2014/10/30 00:00:00","2","","","","7640920","","","","","",""
"1","2014/10/30 00:00:00","10","","","","7520212","","","","","",""
"1","2014/10/30 00:00:00","10","","","","7581799","","","","","",""
"1","2014/10/30 00:00:00","16","","","","7646242","","","","","",""
"1","2014/10/30 00:00:00","26","","","","7649072","","","","","",""
"1","2014/11/06 00:00:00","1","","","","7640936","","","","","",""
"1","2014/11/06 00:00:00","1","","","","7643432","","","","","",""
"1","2014/11/06 00:00:00","1","","","","7666312","","","","","",""
"1","2014/11/06 00:00:00","2","","","","7643443","","","","","",""
"1","2014/11/06 00:00:00","2","","","","7665000","","","","","",""
"1","2014/11/06 00:00:00","4","","","","7651254","","","","","",""
"1","2014/11/06 00:00:00","5","","","","7588340","","","","","",""
"1","2014/11/06 00:00:00","20","","","","7581804","","","","","",""
"1","2014/11/06 00:00:00","20","","","","7649073","","","","","",""
"1","2014/11/06 00:00:00","35","","","","7646249","","","","","",""
"1","2014/11/07 00:00:00","1","","","","7541969","","","","","",""
"1","2014/11/08 00:00:00","5","","","","7511964","","","","","",""
"1","2014/11/12 00:00:00","1","","","","7658918","","","","","",""
"1","2014/11/13 00:00:00","1","","","","7643433","","","","","",""
"1","2014/11/13 00:00:00","1","","","","7666322","","","","","",""
"1","2014/11/13 00:00:00","1","","","","7681572","","","","","",""
"1","2014/11/13 00:00:00","1","","","","7694833","","","","","",""
"1","2014/11/13 00:00:00","2","","","","7502070","","","","","",""
"1","2014/11/13 00:00:00","3","","","","7541975","","","","","",""
"1","2014/11/13 00:00:00","3","","","","7651278","","","","","",""
"1","2014/11/13 00:00:00","8","","","","7643429","","","","","",""
"1","2014/11/13 00:00:00","59","","","","7643444","","","","","",""
"1","2014/11/14 00:00:00","2.5","","","","7665008","","","","","",""
"1","2014/11/18 00:00:00","1","","","","7666336","","","","","",""
"1","2014/11/20 00:00:00","1","","","","7643434","","","","","",""
"1","2014/11/20 00:00:00","2","","","","7651287","","","","","",""
"1","2014/11/20 00:00:00","2","","","","7732519","","","","","",""
"1","2014/11/20 00:00:00","3","","","","7541982","","","","","",""
"1","2014/11/20 00:00:00","4","","","","7643430","","","","","",""
"1","2014/11/21 00:00:00","0.5","","","","7681469","","","","","",""
"1","2014/11/27 00:00:00","8","","","","7643431","","","","","",""
"1","2014/11/27 00:00:00","10","","","","7679692","","","","","",""
"1","2014/12/01 00:00:00","1","","","","7640757","","","","","",""
"1","2014/12/04 00:00:00","1","","","","7709255","","","","","",""
"1","2014/12/04 00:00:00","1.5","","","","7709215","","","","","",""
"1","2014/12/04 00:00:00","2","","","","7571272","","","","","",""
"1","2014/12/04 00:00:00","10","","","","7679694","","","","","",""
"1","2014/12/08 00:00:00","4","","","","7571235","","","","","",""
"1","2014/12/11 00:00:00","1","","","","7620577","","","","","",""
"1","2014/12/11 00:00:00","1","","","","7709261","","","","","",""
"1","2014/12/11 00:00:00","1","","","","7714375","","","","","",""
"1","2014/12/11 00:00:00","2","","","","7571276","","","","","",""
"1","2014/12/11 00:00:00","4","","","","7665046","","","","","",""
"1","2014/12/12 00:00:00","1","","","","7640759","","","","","",""
"1","2014/12/18 00:00:00","1.5","","","","7709246","","","","","",""
"1","2014/12/18 00:00:00","2","","","","7571281","","","","","",""
"1","2014/12/18 00:00:00","5","","","","7665052","","","","","",""
"1","2014/12/18 00:00:00","5","","","","7714376","","","","","",""
"1","2014/12/18 00:00:00","11","","","","7562235","","","","","",""
"1","2014/12/26 00:00:00","1","","","","7640731","","","","","",""
"1","2015/01/08 00:00:00","2","","","","7622578","","","","","",""
"1","2015/01/14 00:00:00","5","","","","7755421","","","","","",""
"1","2015/01/15 00:00:00","1","","","","7640699","","","","","",""
"1","2015/01/15 00:00:00","2","","","","7755362","","","","","",""
"1","2015/01/15 00:00:00","6","","","","7619379","","","","","",""
"1","2015/01/15 00:00:00","6","","","","7622580","","","","","",""
"1","2015/01/15 00:00:00","10","","","","7571515","","","","","",""
"1","2015/01/15 00:00:00","40","","","","7755369","","","","","",""
"1","2015/01/17 00:00:00","1","","","","7640729","","","","","",""
"1","2015/01/21 00:00:00","1","","","","7622584","","","","","",""
"1","2015/01/22 00:00:00","2","","","","7709322","","","","","",""
"1","2015/01/22 00:00:00","2","","","","7755366","","","","","",""
"1","2015/01/22 00:00:00","2","","","","7755447","","","","","",""
"1","2015/01/22 00:00:00","4","","","","7782380","","","","","",""
"1","2015/01/22 00:00:00","8","","","","7734825","","","","","",""
"1","2015/01/22 00:00:00","8","","","","7755440","","","","","",""
"1","2015/01/22 00:00:00","10","","","","7622575","","","","","",""
"1","2015/01/22 00:00:00","10","","","","7788139","","","","","",""
"1","2015/01/22 00:00:00","20","","","","7778678","","","","","",""
"1","2015/01/29 00:00:00","1","","","","7704878","","","","","",""
"1","2015/01/29 00:00:00","1","","","","7755467","","","","","",""
"1","2015/01/29 00:00:00","2","","","","7755461","","","","","",""
"1","2015/01/29 00:00:00","3","","","","7576130","","","","","",""
"1","2015/01/29 00:00:00","5","","","","7601467","","","","","",""
"1","2015/01/29 00:00:00","5","","","","7643881","","","","","",""
"1","2015/01/29 00:00:00","8","","","","7625774","","","","","",""
"1","2015/01/29 00:00:00","8","","","","7766125","","","","","",""
"1","2015/01/29 00:00:00","10","","","","7755437","","","","","",""
