OpCode	PAC	WorkAccomplishmentID	OperationDate	TotalHoursSpent
11	82845G	6942797	12/4/2014	60.00
11	82845G	7520212	10/30/2014	30.00
11	82845G	7566894	11/27/2014	70.00
11	82845G	7571515	1/15/2015	35.00
11	82845G	7870637	4/21/2015	120.00
11	82845G	7870638	4/24/2015	80.00
11	82845G	8129558	8/20/2015	30.00
11	82845G	8287074	1/28/2016	1.00
11	82845G	8407876	4/21/2016	54.00
11	82845G	8409476	3/18/2016	240.00
11	82845G	8409477	3/25/2016	240.00
11	82845G	8409478	3/11/2016	456.00
11	82845G	8409479	3/18/2016	323.00
11	82845G	8409480	3/24/2016	304.00
11	82845G	8422044	4/14/2016	40.00
11	82845G	8455862	3/11/2016	200.00
11	82845G	8481284	4/1/2016	94.00
11	82845G	8494621	6/10/2016	300.00
11	82845G	8494622	6/16/2016	120.00
11	82845G	8615040	3/4/2016	99.00

