PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
07819	43	1	0.00	0.00
03003	03	1	0.10	0.00
04004A	53	1	0.10	0.00
04R824	03	1	0.10	0.00
56002E	52	1	0.10	0.00
56008K	41	1	0.10	0.00
56R800	52	1	0.10	0.00
56R834	12	1	0.10	0.00
71006M	31	1	0.10	0.00
71C001	41	1	0.10	0.00
71R816	03	1	0.10	0.00
82013	41	1	0.10	0.00
03R803	41	1	0.20	0.00
03R845	33	1	0.20	0.00
04R845	52	2	0.20	0.00
18029A	53	1	0.20	0.00
52D001	83	2	0.20	0.00
71004	52	2	0.20	0.00
03R844	52	1	0.30	0.00
71R838	03	3	0.30	0.00
71S004	53	3	0.30	0.00
03037B	53	1	0.50	0.00
03037B	92	1	0.50	0.00
03803B	53	1	0.50	0.00
03803E	17	1	0.50	0.00
03819B	53	1	0.50	0.00
03F860	52	4	0.50	0.00
03R282	14	1	0.50	0.00
03R801	53	1	0.50	0.00
03R839	14	1	0.50	0.00
03R871	84	1	0.50	0.00
04004U	83	1	0.50	0.00
04019C	95	1	0.50	0.00
04019X	53	1	0.50	0.00
04803	83	1	0.50	0.00
09803	83	1	0.50	0.00
09844F	11	1	0.50	0.00
09R845	52	1	0.50	0.00
18003	01	1	0.50	0.00
21003	43	1	0.50	0.00
21842	01	1	0.50	0.00
21R290	13	1	0.50	0.00
21R834	53	1	0.50	0.00
42R316	92	1	0.50	0.00
46832P	92	1	0.50	0.00
56002F	53	1	0.50	0.00
56818	95	1	0.50	0.00
58R800	21	1	0.50	0.00
58R800	95	1	0.50	0.00
71001A	92	1	0.50	0.00
71004A	83	1	0.50	0.00
71R800	95	1	0.50	0.00
71R814	17	1	0.50	0.00
81010	84	1	0.50	0.00
81845T	17	1	0.50	0.00
82002	21	1	0.50	0.00
82R320	83	1	0.50	0.00
82R801	86	1	0.50	0.00
86009	95	1	0.50	0.00
86010	02	1	0.50	0.00
99R800	02	1	0.50	0.00
03037C	92	1	0.60	0.00
04R854	21	1	0.60	0.00
21R800	21	2	0.60	0.00
85Z800	92	1	0.70	0.00
07R279	84	1	0.80	0.00
41B800	52	4	0.80	0.00
86R845	52	2	0.80	0.00
03037	43	2	1.00	0.00
03037D	53	1	1.00	0.00
03803	02	1	1.00	0.00
03803	51	1	1.00	0.00
03803C	92	1	1.00	0.00
03F098	84	1	1.00	0.00
03F110	53	1	1.00	0.00
03R175	52	1	1.00	0.00
03R234	02	1	1.00	0.00
03R800	51	1	1.00	0.00
03R876	83	1	1.00	0.00
04018	02	1	1.00	0.00
04808A	84	1	1.00	0.00
04842H	11	1	1.00	0.00
04C001	92	2	1.00	0.00
04R078	92	1	1.00	0.00
04R846	84	1	1.00	0.00
04R859	14	1	1.00	0.00
07844	52	2	1.00	0.00
07R800	95	1	1.00	0.00
09842H	11	1	1.00	0.00
09844F	21	2	1.00	0.00
09847	11	1	1.00	0.00
09R800	18	1	1.00	0.00
09R800	31	1	1.00	0.00
18029D	53	1	1.00	0.00
21842	84	1	1.00	0.00
21R824	84	1	1.00	0.00
21R829	86	1	1.00	0.00
21R829	92	1	1.00	0.00
21R831	84	1	1.00	0.00
21R839	14	1	1.00	0.00
29R833	83	1	1.00	0.00
41002B	01	1	1.00	0.00
42007	21	1	1.00	0.00
42808	84	1	1.00	0.00
42809	13	1	1.00	0.00
48809	84	1	1.00	0.00
52001	83	1	1.00	0.00
53001A	92	1	1.00	0.00
56021B	84	1	1.00	0.00
56832	84	1	1.00	0.00
56832	92	1	1.00	0.00
56R814	17	2	1.00	0.00
